Range,Velocity,Energy,ComeUp,ComeUpMOA,ComeUpMrads,SpinDrift,SpinDriftMOA,SpinDriftMrads,WindDrift,WindDriftMOA,WindDriftMrads,TimeOfFlight,VerticalWindJump,VerticalWindJumpMOA,VerticalWindJumpMrads,TotalComeUp,TotalComeUpMOA,TotalComeUpMrads,TotalWindDrift,TotalWindDriftMOA,TotalWindDriftMrads,Gyro
"0","2649.9998","3429.8928","-1.5010135","0","0","0","0","0","0","0","0","0","-0.0010135174","0","0","0","0","0","0","0","0","2.5518653"
"25","2614.816","3339.4207","-0.6402381","-2.4457097","-0.7113757","-0.0033904503","-0.01295152","-0.003767167","0","0","0","0.028492907","-2.2053719E-06","-8.42452E-06","-2.4504131E-06","0","0","0","-0.0033904503","-0.01295152","-0.003767167","2.6001494"
"50","2579.878","3250.7773","-0.09803166","-0.18724048","-0.054462034","-0.013648001","-0.026067682","-0.0075822226","0","0","0","0.05736942","-1.5720725E-06","-3.0026583E-06","-8.733736E-07","0","0","0","-0.013648001","-0.026067682","-0.0075822226","2.6497443"
"74.99999","2545.1917","3163.9521","0.118466035","0.15084675","0.04387631","-0.031012416","-0.039489146","-0.011486081","0","0","0","0.08663783","-3.2037497E-06","-4.0794416E-06","-1.1865741E-06","0","0","0","-0.031012416","-0.039489146","-0.011486081","2.7006862"
"100","2510.761","3078.9285","0","0","0","-0.055729665","-0.05322183","-0.015480462","0","0","0","0.1163064","0","0","0","0","0","0","-0.055729665","-0.05322183","-0.015480462","2.752826"
"125","2476.56","2995.6191","-0.46285963","-0.35362476","-0.1028577","-0.08804495","-0.067266345","-0.019565545","0","0","0","0.14638337","4.7683716E-07","3.643036E-07","1.05963814E-07","0","0","0","-0.08804495","-0.067266345","-0.019565545","2.8012588"
"150","2442.5684","2913.9517","-1.2796332","-0.81469977","-0.2369691","-0.12818466","-0.081610896","-0.0237379","0","0","0","0.17687748","-5.9604645E-07","-3.7948288E-07","-1.1037897E-07","0","0","0","-0.12818466","-0.081610896","-0.0237379","2.8511453"
"175","2408.792","2833.9192","-2.4599855","-1.3424493","-0.3904739","-0.17637439","-0.09625002","-0.027995935","0","0","0","0.20779748","-1.66893E-06","-9.10759E-07","-2.6490954E-07","0","0","0","-0.17637439","-0.09625002","-0.027995935","2.9025323"
"200","2375.2356","2755.512","-4.013739","-1.9165605","-0.5574638","-0.23284434","-0.11118317","-0.03233949","0","0","0","0.23915201","-2.3841858E-06","-1.1384487E-06","-3.3113693E-07","0","0","0","-0.23284434","-0.11118317","-0.03233949","2.9554658"
"225","2341.9065","2678.724","-5.952651","-2.5265698","-0.7348952","-0.2978705","-0.12642947","-0.036774132","0","0","0","0.2709518","-2.861023E-06","-1.2143453E-06","-3.532127E-07","0","0","0","-0.2978705","-0.12642947","-0.036774132","3.0099916"
"250","2308.8086","2603.5432","-8.287465","-3.1658123","-0.9208296","-0.37170818","-0.14199254","-0.04130091","0","0","0","0.3032062","-9.536743E-07","-3.643036E-07","-1.05963814E-07","0","0","0","-0.37170818","-0.14199254","-0.04130091","3.0661604"
