Range,Velocity,Energy,ComeUp,ComeUpMOA,ComeUpMrads,SpinDrift,SpinDriftMOA,SpinDriftMrads,WindDrift,WindDriftMOA,WindDriftMrads,TimeOfFlight,VerticalWindJump,VerticalWindJumpMOA,VerticalWindJumpMrads,TotalComeUp,TotalComeUpMOA,TotalComeUpMrads,TotalWindDrift,TotalWindDriftMOA,TotalWindDriftMrads,Gyro
"0","2599.9998","3301.6838","-1.5010418","0","0","0","0","0","0","0","0","0","-0.00104177","0","0","0","0","0","0","0","0","3.0595896"
"25","2564.678","3212.585","-0.6206715","-2.3709652","-0.68963504","-0.0034477797","-0.013170518","-0.0038308662","0","0","0","0.029045003","2.6226044E-06","1.0018349E-05","2.9140049E-06","0","0","0","-0.0034477797","-0.013170518","-0.0038308662","3.1185138"
"50","2529.5771","3125.2498","-0.0717563","-0.13705455","-0.039864615","-0.013905917","-0.026560303","-0.00772551","0","0","0","0.058490947","1.9669533E-06","3.7568805E-06","1.0927517E-06","0","0","0","-0.013905917","-0.026560303","-0.00772551","3.1790893"
"75","2494.6912","3039.6423","0.13834089","0.17615406","0.051237367","-0.031621277","-0.040264428","-0.011711584","0","0","0","0.08834678","8.940697E-07","1.1384487E-06","3.3113693E-07","0","0","0","-0.031621277","-0.040264428","-0.011711584","3.2393918"
"100","2459.9617","2955.5996","0","0","0","-0.05682968","-0.054272342","-0.015786022","0","0","0","0.11862188","0","0","0","0","0","0","-0.05682968","-0.054272342","-0.015786022","3.2995162"
"125","2425.386","2873.099","-0.49653003","-0.37934893","-0.11034001","-0.089754805","-0.06857267","-0.019945512","0","0","0","0.14932613","2.413988E-06","1.8442869E-06","5.364418E-07","0","0","0","-0.089754805","-0.06857267","-0.019945512","3.361557"
"150","2390.973","2792.1467","-1.3621027","-0.8672055","-0.25224125","-0.13064419","-0.0831768","-0.024193369","0","0","0","0.18047053","-2.3841858E-07","-1.5179316E-07","-4.4151587E-08","0","0","0","-0.13064419","-0.0831768","-0.024193369","3.4255793"
"175","2356.7307","2712.7437","-2.6080415","-1.4232454","-0.41397485","-0.17975844","-0.09809675","-0.028533086","0","0","0","0.2120664","2.1457672E-06","1.1709758E-06","3.4059798E-07","0","0","0","-0.17975844","-0.09809675","-0.028533086","3.4916484"
"200.00002","2322.6667","2634.8916","-4.2433205","-2.0261855","-0.58935004","-0.23730852","-0.11331481","-0.032959513","0","0","0","0.24412207","0","0","0","0","0","0","-0.23730852","-0.11331481","-0.032959513","3.5598354"
"224.99998","2288.7908","2558.5923","-6.2815356","-2.6661632","-0.77549833","-0.30360782","-0.12886466","-0.037482448","0","0","0","0.27665102","4.7683716E-07","2.0239091E-07","5.8868793E-08","0","0","0","-0.30360782","-0.12886466","-0.037482448","3.63021"
"250","2255.1096","2483.8435","-8.732706","-3.335894","-0.9703008","-0.3788943","-0.14473763","-0.042099368","0","0","0","0.30966234","1.9073486E-06","7.286072E-07","2.1192763E-07","0","0","0","-0.3788943","-0.14473763","-0.042099368","3.70285"
"275","2221.6284","2410.6367","-11.611984","-4.032526","-1.1729279","-0.46352035","-0.16096798","-0.04682024","0","0","0","0.3431708","0","0","0","0","0","0","-0.46352035","-0.16096798","-0.04682024","3.7787912"
"300","2188.308","2338.8687","-14.9299965","-4.752717","-1.3824075","-0.5577354","-0.17754576","-0.051642165","0","0","0","0.37718597","0","0","0","0","0","0","-0.5577354","-0.17754576","-0.051642165","3.859275"
"324.99997","2155.1448","2268.5159","-18.700779","-5.495155","-1.598358","-0.66185546","-0.1944837","-0.056568846","0","0","0","0.41172162","0","0","0","0","0","0","-0.66185546","-0.1944837","-0.056568846","3.9425993"
"349.99997","2122.1482","2199.5825","-22.938662","-6.2589817","-1.8205299","-0.7762033","-0.21179262","-0.061603438","0","0","0","0.44679162","1.9073486E-06","5.2043373E-07","1.5137688E-07","0","0","0","-0.7762033","-0.21179262","-0.061603438","4.0288687"
"374.99994","2089.328","2132.0732","-27.658232","-7.0436354","-2.0487595","-0.9011098","-0.22948267","-0.06674889","0","0","0","0.48240986","1.9073486E-06","4.857382E-07","1.4128511E-07","0","0","0","-0.9011098","-0.22948267","-0.06674889","4.1181927"
"399.99997","2056.6934","2065.989","-32.87431","-7.8487496","-2.2829406","-1.0369128","-0.24756296","-0.07200784","0","0","0","0.51859015","3.8146973E-06","9.10759E-07","2.6490954E-07","0","0","0","-1.0369128","-0.24756296","-0.07200784","4.210688"
"424.99988","2024.253","2001.3291","-38.602657","-8.674255","-2.5230527","-1.1839727","-0.2660457","-0.07738385","0","0","0","0.55534685","3.8146973E-06","8.5718506E-07","2.4932666E-07","0","0","0","-1.1839727","-0.2660457","-0.07738385","4.3064733"
"449.9999","1992.0168","1938.0945","-44.861835","-9.520692","-2.769253","-1.3427138","-0.28495374","-0.08288358","0","0","0","0.5926974","0","0","0","0","0","0","-1.3427138","-0.28495374","-0.08288358","4.4056687"
"474.99988","1959.9923","1876.2799","-51.665993","-10.387602","-3.0214083","-1.5134671","-0.3042866","-0.08850686","0","0","0","0.63065374","0","0","0","0","0","0","-1.5134671","-0.3042866","-0.08850686","4.5084105"
"499.9999","1928.1844","1815.8754","-59.035366","-11.275778","-3.2797492","-1.6966908","-0.324068","-0.09426062","0","0","0","0.669234","0","0","0","0","0","0","-1.6966908","-0.324068","-0.09426062","4.593908"
"524.9999","1896.5946","1756.8633","-66.98833","-12.185524","-3.5443642","-1.8927486","-0.34430006","-0.10014545","0","0","0","0.70845425","0","0","0","0","0","0","-1.8927486","-0.34430006","-0.10014545","4.6775002"
"549.9998","1865.2294","1699.2349","-75.54375","-13.117177","-3.8153512","-2.1019888","-0.3649818","-0.10616108","0","0","0","0.74833053","0","0","0","0","0","0","-2.1019888","-0.3649818","-0.10616108","4.7642903"
"574.9998","1834.0983","1642.9869","-84.72215","-14.071288","-4.09287","-2.3247945","-0.38611817","-0.11230895","0","0","0","0.7888803","0","0","0","0","0","0","-2.3247945","-0.38611817","-0.11230895","4.854382"
"599.9998","1803.2078","1588.1097","-94.54467","-15.048411","-4.377083","-2.5615613","-0.40771526","-0.11859083","0","0","0","0.8301213","7.6293945E-06","1.2143455E-06","3.5321278E-07","0","0","0","-2.5615613","-0.40771526","-0.11859083","4.9478993"
"624.99976","1772.5673","1534.597","-105.03582","-16.049536","-4.668277","-2.812756","-0.42978927","-0.12501143","0","0","0","0.87207395","7.6293945E-06","1.1657719E-06","3.3908432E-07","0","0","0","-2.812756","-0.42978927","-0.12501143","5.0449505"
"649.99976","1742.1823","1482.4365","-116.215004","-17.074741","-4.966475","-3.078734","-0.45233724","-0.13156988","0","0","0","0.91475296","7.6293945E-06","1.1209345E-06","3.260426E-07","0","0","0","-3.078734","-0.45233724","-0.13156988","5.145675"
"674.99976","1712.0612","1431.619","-128.1104","-18.125338","-5.272059","-3.360039","-0.47538343","-0.13827325","0","0","0","0.958182","1.5258789E-05","2.1588367E-06","6.279339E-07","0","0","0","-3.360039","-0.47538343","-0.13827325","5.25019"
"699.99976","1682.2095","1382.1304","-140.74469","-19.201702","-5.5851374","-3.6570954","-0.49893242","-0.14512287","0","0","0","1.0023776","0","0","0","0","0","0","-3.6570954","-0.49893242","-0.14512287","5.3586383"
"724.9997","1652.629","1333.9502","-154.14499","-20.304745","-5.905976","-3.9704156","-0.5229998","-0.15212327","0","0","0","1.047361","0","0","0","0","0","0","-3.9704156","-0.5229998","-0.15212327","5.4535446"
"749.9997","1623.3134","1287.0447","-168.33896","-21.435308","-6.2348194","-4.3004594","-0.54759204","-0.15927634","0","0","0","1.0931532","1.5258789E-05","1.9429535E-06","5.651406E-07","0","0","0","-4.3004594","-0.54759204","-0.15927634","5.546443"
"774.9997","1594.2682","1241.3997","-183.35483","-22.59422","-6.571908","-4.647661","-0.572712","-0.1665829","0","0","0","1.1397756","1.5258789E-05","1.8802774E-06","5.4691026E-07","0","0","0","-4.647661","-0.572712","-0.1665829","5.643366"
"799.99976","1565.5009","1197.0039","-199.22559","-23.78275","-6.9176116","-5.01255","-0.5983733","-0.17404692","0","0","0","1.1872532","0","0","0","0","0","0","-5.01255","-0.5983733","-0.17404692","5.744433"
"824.99963","1537.0167","1153.8414","-215.97928","-25.00147","-7.272097","-5.395547","-0.6245757","-0.18166833","0","0","0","1.235606","-3.0517578E-05","-3.5326425E-06","-1.0275284E-06","0","0","0","-5.395547","-0.6245757","-0.18166833","5.84978"
"849.9996","1508.8223","1111.8984","-233.65085","-26.251627","-7.6357265","-5.7972145","-0.6513344","-0.18945155","0","0","0","1.2848591","0","0","0","0","0","0","-5.7972145","-0.6513344","-0.18945155","5.959539"
"874.99963","1480.8881","1071.1082","-252.275","-27.534319","-8.008819","-6.218114","-0.678663","-0.19740053","0","0","0","1.3350372","0","0","0","0","0","0","-6.218114","-0.678663","-0.19740053","6.129969"
"899.9997","1453.1788","1031.3998","-271.88843","-28.850733","-8.39172","-6.6589236","-0.706586","-0.2055224","0","0","0","1.3861685","0","0","0","0","0","0","-6.6589236","-0.706586","-0.2055224","6.310673"
"924.9995","1425.7035","992.76697","-292.52774","-30.201914","-8.784734","-7.120342","-0.7351275","-0.21382417","0","0","0","1.43828","0","0","0","0","0","0","-7.120342","-0.7351275","-0.21382417","6.4987617"
"949.9996","1398.4711","955.20337","-314.23306","-31.58915","-9.188234","-7.603134","-0.76431537","-0.22231396","0","0","0","1.4914014","0","0","0","0","0","0","-7.603134","-0.76431537","-0.22231396","6.694552"
"974.99945","1371.4904","918.7015","-337.0462","-33.013767","-9.602608","-8.108091","-0.7941776","-0.23099989","0","0","0","1.5455629","-3.0517578E-05","-2.9891594E-06","-8.694472E-07","0","0","0","-8.108091","-0.7941776","-0.23099989","6.898379"
"999.99945","1344.7697","883.25226","-361.01215","-34.477257","-10.028289","-8.636075","-0.8247456","-0.2398911","0","0","0","1.6007967","0","0","0","0","0","0","-8.636075","-0.8247456","-0.2398911","7.110589"
"1024.9995","1318.3618","848.90314","-386.17673","-35.981037","-10.465689","-9.187953","-0.8560486","-0.24899611","0","0","0","1.6571344","0","0","0","0","0","0","-9.187953","-0.8560486","-0.24899611","7.3303237"
"1049.9995","1292.3567","815.7436","-412.58636","-37.526474","-10.915205","-9.764557","-0.88811","-0.2583217","0","0","0","1.7146024","0","0","0","0","0","0","-9.764557","-0.88811","-0.2583217","7.556909"
"1074.9995","1266.7557","783.7448","-440.29462","-39.115406","-11.377373","-10.366846","-0.9209621","-0.26787728","0","0","0","1.7732317","0","0","0","0","0","0","-10.366846","-0.9209621","-0.26787728","7.790628"
"1099.9995","1241.5565","752.8733","-469.35233","-40.749283","-11.852613","-10.99571","-0.9546279","-0.27766955","0","0","0","1.8330494","0","0","0","0","0","0","-10.99571","-0.9546279","-0.27766955","8.031717"
"1124.9996","1216.7704","723.11304","-499.8146","-42.429794","-12.341418","-11.652108","-0.9891347","-0.28770643","0","0","0","1.8940846","0","0","0","0","0","0","-11.652108","-0.9891347","-0.28770643","8.249839"
"1149.9995","1192.4808","694.5311","-531.7404","-44.158806","-12.84433","-12.33692","-1.0245011","-0.29799333","0","0","0","1.9563653","0","0","0","0","0","0","-12.33692","-1.0245011","-0.29799333","8.437564"
"1174.9995","1168.7101","667.1178","-565.1882","-45.937954","-13.361825","-13.050828","-1.0607272","-0.30853033","0","0","0","2.0199153","0","0","0","0","0","0","-13.050828","-1.0607272","-0.30853033","8.593781"
"1199.9995","1146.2627","641.7372","-600.2221","-47.76923","-13.894483","-13.7945175","-1.0978141","-0.31931764","0","0","0","2.0847423","0","0","0","0","0","0","-13.7945175","-1.0978141","-0.31931764","8.570392"
