Range,Velocity,Energy,ComeUp,ComeUpMOA,ComeUpMrads,SpinDrift,SpinDriftMOA,SpinDriftMrads,WindDrift,WindDriftMOA,WindDriftMrads,TimeOfFlight,VerticalWindJump,VerticalWindJumpMOA,VerticalWindJumpMrads,TotalComeUp,TotalComeUpMOA,TotalComeUpMrads,TotalWindDrift,TotalWindDriftMOA,TotalWindDriftMrads,Gyro
"0","2700","2379.0913","-1.5009103","0","0","0","0","0","0","0","0","0","-0.00091028214","0","0","0","0","0","0","0","0","1.5913911"
"25","2664.914","2317.6614","-0.58531153","-2.2358902","-0.6503462","-0.0022731642","-0.008683487","-0.002525738","0.032306515","0.12341088","0.035896126","0.027961342","0.07327688","0.27991766","0.08141875","0","0","0","0.03003335","0.11472739","0.033370387","1.6202871"
"50","2629.9285","2257.207","0.024219722","0.0462597","0.013455406","-0.009134965","-0.017447783","-0.0050749807","0.12943612","0.24722299","0.07190896","0.056291003","0.1465418","0.27989486","0.081412114","0","0","0","0.12030116","0.2297752","0.06683398","1.650073"
"74.99999","2595.0437","2197.7227","0.32062012","0.40825635","0.1187482","-0.020749027","-0.02642043","-0.0076848255","0.29309848","0.3732121","0.108555004","0.08499871","0.2198091","0.2798903","0.08141079","0","0","0","0.27234945","0.34679168","0.10087018","1.680788"
"100","2560.2651","2139.2104","0.2930718","0.27988356","0.081408836","-0.03731071","-0.035631727","-0.010364086","0.52538687","0.50174445","0.1459408","0.11409634","0.2930718","0.27988356","0.081408836","0","0","0","0.48807615","0.46611273","0.13557671","1.712468"
"125","2525.5999","2081.6736","-0.06517321","-0.04979235","-0.014482938","-0.05895564","-0.045042105","-0.013101253","0.82750726","0.63221556","0.1838905","0.14359073","0.36631864","0.27986744","0.08140414","0","0","0","0.7685516","0.58717346","0.17078926","1.7451488"
"150","2491.0615","2025.128","-0.76347256","-0.4860775","-0.1413838","-0.08586133","-0.054665048","-0.015900247","1.2011961","0.7647615","0.22244371","0.17349178","0.43955708","0.27985132","0.081399456","0","0","0","1.1153347","0.7100965","0.20654348","1.7765098"
"175.00002","2456.6772","1969.6078","-1.8113861","-0.9884992","-0.2875216","-0.11819514","-0.06450077","-0.018761132","1.6481627","0.8994258","0.2616131","0.20380919","0.5127754","0.27982885","0.081392914","0","0","0","1.5299675","0.83492506","0.24285197","1.8072876"
"200","2422.457","1915.1191","-3.2185712","-1.5368677","-0.44702378","-0.15611674","-0.07454574","-0.02168288","2.1700907","1.0362183","0.30140147","0.2345525","0.58599806","0.2798141","0.08138862","0","0","0","2.013974","0.96167254","0.27971858","1.8390234"
"224.99998","2388.41","1861.6637","-4.9963384","-2.1206686","-0.616832","-0.19981116","-0.084808744","-0.024668047","2.7689512","1.1752659","0.3418458","0.26573288","0.65919447","0.27979144","0.081382036","0","0","0","2.56914","1.0904572","0.31717777","1.871747"
"250","2354.5422","1809.2417","-7.1549664","-2.7331975","-0.7949964","-0.2494502","-0.095289975","-0.027716689","3.44648","1.3165553","0.3829422","0.29736027","0.73238564","0.2797713","0.08137618","0","0","0","3.1970298","1.2212653","0.3552255","1.9054903"
"274.99997","2320.862","1757.8517","-9.703773","-3.3698566","-0.98017937","-0.30519107","-0.105984546","-0.030827384","4.2041655","1.459992","0.4246632","0.32944304","0.80556583","0.27975106","0.081370294","0","0","0","3.8989744","1.3540075","0.3938358","1.9402858"
"300.00003","2287.3772","1707.4938","-12.656943","-4.0291276","-1.1719395","-0.36726868","-0.116913855","-0.034006357","5.0444493","1.6058161","0.46707857","0.3619951","0.8787203","0.2797259","0.08136298","0","0","0","4.677181","1.4889023","0.4330722","1.9761673"
"324.99997","2254.0938","1658.1643","-16.023083","-4.708323","-1.3694948","-0.43583342","-0.12806799","-0.037250724","5.968602","1.7538508","0.51013696","0.39502358","0.9518852","0.27970782","0.08135772","0","0","0","5.5327687","1.6257828","0.47288623","2.0131726"
"349.99997","2221.0173","1609.8575","-19.818533","-5.407631","-1.5729002","-0.5111565","-0.13947271","-0.04056798","6.979399","1.9043789","0.55392057","0.42854446","1.0250149","0.27968264","0.08135039","0","0","0","6.4682426","1.7649062","0.5133526","2.0517302"
"374.99994","2188.1204","1562.5214","-24.053188","-6.12555","-1.781719","-0.59340763","-0.15112117","-0.043956127","8.078324","2.05728","0.59839445","0.46256602","1.0981255","0.279656","0.08134264","0","0","0","7.4849167","1.9061589","0.55443835","2.0922787"
"399.9999","2155.4016","1516.1423","-28.740887","-6.861893","-1.9958968","-0.6828144","-0.16302198","-0.047417678","9.267673","2.212657","0.6435884","0.49710128","1.1712284","0.27963087","0.08133533","0","0","0","8.584858","2.049635","0.5961707","2.134197"
"424.99994","2122.8696","1470.7207","-33.895798","-7.616593","-2.2154138","-0.7796093","-0.17518282","-0.050954863","10.549753","2.3705914","0.6895263","0.5321634","1.2443008","0.27960175","0.081326865","0","0","0","9.7701435","2.1954086","0.63857144","2.1775331"
"449.9999","2090.5327","1426.2559","-39.532284","-8.389639","-2.4402673","-0.88403106","-0.18761107","-0.05456983","11.926861","2.5311449","0.73622596","0.56776536","1.3173523","0.27957147","0.08131806","0","0","0","11.0428295","2.3435338","0.6816561","2.2223358"
"474.99988","2058.398","1382.7456","-45.664913","-9.181065","-2.670467","-0.9963238","-0.20031355","-0.05826456","13.401286","2.6943638","0.78370094","0.6039201","1.3904228","0.27954823","0.08131129","0","0","0","12.404963","2.4940503","0.7254364","2.2686586"
"499.9999","2026.4741","1340.1879","-52.309883","-9.991205","-2.9061096","-1.116756","-0.21330042","-0.06204201","14.97555","2.8603299","0.831975","0.64064217","1.4634323","0.27951565","0.081301816","0","0","0","13.858793","2.6470294","0.769933","2.3165548"
"524.9999","1994.7687","1298.5797","-59.48415","-10.820472","-3.1473157","-1.2456155","-0.22658342","-0.06590559","16.652287","3.02913","0.8810733","0.67794627","1.5364723","0.2794917","0.08129485","0","0","0","15.406672","2.8025465","0.8151677","2.3660784"
"549.9998","1963.288","1257.9158","-67.20265","-11.668852","-3.3940814","-1.3831561","-0.24016626","-0.06985639","18.43365","3.2007518","0.93099236","0.7158448","1.6094971","0.2794673","0.08128776","0","0","0","17.050493","2.9605856","0.86113596","2.41729"
"574.9998","1932.0356","1218.1866","-75.48453","-12.537028","-3.646605","-1.5296991","-0.25406313","-0.073898524","20.322538","3.3753083","0.9817651","0.75435424","1.6825027","0.27944183","0.08128035","0","0","0","18.79284","3.1212451","0.9078666","2.463279"
"599.9998","1901.0056","1179.3708","-84.34841","-13.425497","-3.905031","-1.6855307","-0.26828036","-0.07803384","22.32172","3.5528736","1.0334129","0.79349023","1.7554398","0.27940756","0.08127038","0","0","0","20.636189","3.2845933","0.95537907","2.5078187"
