Range,Velocity,Energy,ComeUp,ComeUpMOA,ComeUpMrads,SpinDrift,SpinDriftMOA,SpinDriftMrads,WindDrift,WindDriftMOA,WindDriftMrads,TimeOfFlight,VerticalWindJump,VerticalWindJumpMOA,VerticalWindJumpMrads,TotalComeUp,TotalComeUpMOA,TotalComeUpMrads,TotalWindDrift,TotalWindDriftMOA,TotalWindDriftMrads,Gyro
"0","2599.9998","3301.6838","-1.5008352","0","0","0","0","0","0","0","0","0","-0.0008351803","0","0","0","0","0","0","0","0","3.059226"
"25","2564.602","3212.395","-0.40617466","-1.5515873","-0.45130524","-0.0034477797","-0.013170518","-0.0038308662","0.07016441","0.26802805","0.07796046","0.029045489","0.21462154","0.81985426","0.23846838","0","0","0","0.066716634","0.25485754","0.0741296","3.1183136"
"50","2529.4663","3124.976","0.35742295","0.68267787","0.1985683","-0.013905913","-0.026560294","-0.007725507","0.28167617","0.5380014","0.15648675","0.05849254","0.429227","0.81982356","0.23845944","0","0","0","0.26777026","0.5114411","0.14876124","3.1789682"
"75","2494.5652","3039.335","0.7821309","0.99591327","0.2896781","-0.03162127","-0.040264416","-0.011711582","0.6375731","0.8118431","0.2361382","0.0883498","0.64379853","0.8197701","0.2384439","0","0","0","0.60595185","0.77157867","0.22442661","3.239311"
"100","2459.8298","2955.2825","0.85833037","0.8197055","0.2384251","-0.056829654","-0.054272316","-0.015786014","1.1411109","1.0897609","0.31697524","0.11862647","0.85833037","0.8197055","0.2384251","0","0","0","1.0842812","1.0354886","0.3011892","3.299451"
"125","2425.2524","2872.783","0.5762614","0.4402637","0.12805808","-0.08975474","-0.06857262","-0.019945497","1.7957448","1.371949","0.39905438","0.1493324","1.0728282","0.8196407","0.23840626","0","0","0","1.7059901","1.3033763","0.37910888","3.361498"
"150","2390.839","2791.834","-0.074941635","-0.047712743","-0.013878062","-0.13064408","-0.08317673","-0.024193348","2.605333","1.6587286","0.48246905","0.18047857","1.2872753","0.8195653","0.23838432","0","0","0","2.474689","1.5755519","0.4582757","3.4255238"
"175","2356.5967","2712.4355","-1.1065841","-0.6038787","-0.17564826","-0.17975825","-0.09809664","-0.028533055","3.5738583","1.9503051","0.567279","0.21207629","1.5016885","0.8194929","0.23836325","0","0","0","3.3941","1.8522085","0.53874594","3.4915955"
"200","2322.5332","2634.5884","-2.527657","-1.2069564","-0.35106355","-0.23730823","-0.11331468","-0.032959476","4.7042456","2.246277","0.6533674","0.24413384","1.7160563","0.81941694","0.23834117","0","0","0","4.4669375","2.1329625","0.62040794","3.5597866"
"225","2288.6572","2558.2937","-4.3517847","-1.8470912","-0.5372575","-0.3036074","-0.12886448","-0.037482396","6.0012636","2.5472026","0.74089664","0.2766647","1.9303656","0.8193329","0.23831673","0","0","0","5.697656","2.418338","0.70341426","3.6301644"
"250","2254.9763","2483.5498","-6.588916","-2.5169663","-0.7321019","-0.37889373","-0.1447374","-0.0420993","7.468085","2.8528078","0.829787","0.30967802","2.1446466","0.81925505","0.23829408","0","0","0","7.089191","2.7080703","0.7876877","3.7028074"
"275","2221.495","2410.3474","-9.254301","-3.213767","-0.9347781","-0.4635196","-0.16096771","-0.04682016","9.10993","3.1636293","0.9201947","0.34318846","2.3588543","0.81916577","0.2382681","0","0","0","8.64641","3.0026617","0.8733745","3.7787526"
"300","2188.1755","2338.5852","-12.358517","-3.9341292","-1.1443076","-0.5577344","-0.17754543","-0.051642068","10.930163","3.479434","1.0120518","0.3772057","2.5730171","0.81907713","0.23824233","0","0","0","10.372429","3.3018885","0.96040976","3.8592389"
"324.99994","2155.0127","2268.238","-15.915592","-4.6767387","-1.3603079","-0.66185415","-0.19448332","-0.05656874","12.933648","3.8005018","1.1054398","0.4117434","2.787136","0.81898934","0.2382168","0","0","0","12.271794","3.6060185","1.048871","3.9425685"
"349.99997","2122.0168","2199.3105","-19.939898","-5.4407473","-1.5825328","-0.7762021","-0.21179229","-0.06160334","15.125273","4.127037","1.200418","0.4468156","3.001192","0.8188967","0.23818986","0","0","0","14.349071","3.9152448","1.1388147","4.028842"
"374.99997","2089.1973","2131.8062","-24.44601","-6.2255893","-1.8108171","-0.9011081","-0.2294822","-0.06674875","17.509912","4.4591885","1.2970299","0.48243612","3.2151794","0.8187991","0.23816146","0","0","0","16.608805","4.2297063","1.2302811","4.1181707"
"399.99994","2056.5635","2065.728","-29.448769","-7.030901","-2.0450556","-1.0369102","-0.24756235","-0.07200766","20.092428","4.797065","1.3953068","0.51861876","3.4290962","0.81869686","0.23813172","0","0","0","19.055517","4.5495024","1.3232992","4.210673"
"424.9999","2024.124","2001.0741","-34.964054","-7.8566403","-2.2852356","-1.1839696","-0.266045","-0.07738365","22.877947","5.140806","1.4952898","0.55537814","3.642887","0.81857836","0.23809725","0","0","0","21.693977","4.874761","1.4179062","4.3064637"
"449.9999","1991.8892","1937.846","-41.010113","-8.703271","-2.5314922","-1.3427104","-0.28495303","-0.08288337","25.872486","5.4907126","1.5970659","0.59273106","3.8567047","0.8184786","0.23806824","0","0","0","24.529776","5.2057595","1.5141826","4.405665"
"474.9999","1959.8657","1876.0375","-47.601402","-9.570406","-2.783713","-1.5134627","-0.3042857","-0.08850661","29.080307","5.8466682","1.7006016","0.6306899","4.0703926","0.8183633","0.23803471","0","0","0","27.566845","5.5423827","1.612095","4.5084147"
"499.99988","1928.0592","1815.6394","-54.757904","-10.458782","-3.0421124","-1.6966854","-0.32406697","-0.09426032","32.507816","6.2089877","1.8059883","0.66927266","4.2840805","0.81825954","0.23800452","0","0","0","30.81113","5.8849206","1.711728","4.5939093"
"524.9999","1896.4707","1756.6334","-62.498245","-11.368755","-3.3067935","-1.892742","-0.34429887","-0.1001451","36.160667","6.577791","1.9132609","0.7084955","4.4976425","0.8181428","0.23797056","0","0","0","34.267925","6.2334924","1.8131158","4.6775093"
"549.9998","1865.107","1699.012","-70.84122","-12.300647","-3.5778494","-2.101981","-0.36498043","-0.106160685","40.04453","6.953179","2.0224488","0.7483745","4.7111206","0.8180221","0.23793545","0","0","0","37.942547","6.5881987","1.9162881","4.764304"
"574.9998","1833.9775","1642.7705","-79.80731","-13.254996","-3.8554382","-2.324787","-0.3861169","-0.11230858","44.165535","7.33531","2.133598","0.78892714","4.9245453","0.817903","0.23790081","0","0","0","41.840748","6.949193","2.0212896","4.854405"
"599.9998","1803.0889","1587.9001","-89.417816","-14.2323885","-4.139729","-2.5615516","-0.40771374","-0.118590385","48.529907","7.7243323","2.2467518","0.830171","5.1378098","0.8177683","0.23786163","0","0","0","45.968357","7.3166184","2.1281614","4.9479275"
"624.9997","1772.4502","1534.3943","-99.69699","-15.2337675","-4.430997","-2.8127441","-0.42978755","-0.12501092","53.144863","8.120523","2.3619907","0.8721265","5.3510284","0.81763756","0.2378236","0","0","0","50.33212","7.690736","2.2369797","5.0449886"
"649.99976","1742.0669","1482.2402","-110.66447","-16.25924","-4.729273","-3.07872","-0.45233518","-0.13156928","58.015636","8.523821","2.4792964","0.91480875","5.564125","0.8174986","0.2377832","0","0","0","54.936916","8.0714855","2.347727","5.145721"
