	Name:	22 CCI Stinger		Altitude:	0	feet
	G1 BC:	0.365		Temperature:	59	øF
	Muzzle Vel:	2600	f/s	Pressure:	29.53	in Hg
	Sight Adj:	5.695	MOA	Humidity:	0	%
	Zeroed Rng:	100	yards	Wind Speed:	0	mph
	Bullet Wgt:	69.0	grains	Wind Dir:	12:00	O'clk
	Sight Height:	3.20	in	Range Slope:	0	deg
	Spin Drift:	Off
	Coriolis:	On
	Shooting Dir:	270.0	deg	Latitude:	45.0	deg
	Close Zeroed Rng:	99.9	yards

				Report Trace

	Range	Velocity	Energy	Path	Drop	Drift	TOF	CDFC	Mntum	Zero Adj
	Yards	f/s	ft-lb	inches	inches	inches	sec	inches	lb-f/s	MOA
	0	2600	1036	-3.20	0.00	0.00	0.00000	3.20	25.6	----
	50	2480	942	-0.89	-0.67	0.01	0.05908	0.89	24.4	1.69
	100	2362	855	0.00	-2.76	0.02	0.12106	0.00	23.3	0.00
	150	2248	775	-0.68	-6.43	0.05	0.18615	0.68	22.2	0.44
	200	2137	700	-3.10	-11.83	0.09	0.25458	3.10	21.1	1.48
	250	2029	631	-7.44	-19.15	0.15	0.32661	7.44	20.0	2.84
	300	1925	568	-13.91	-28.60	0.22	0.40251	13.91	19.0	4.43
	350	1824	510	-22.75	-40.42	0.31	0.48258	22.75	18.0	6.21
	400	1726	457	-34.22	-54.87	0.42	0.56714	34.22	17.0	8.17
	450	1633	409	-48.64	-72.27	0.55	0.65649	48.64	16.1	10.32
	500	1544	365	-66.34	-92.96	0.70	0.75098	66.34	15.2	12.67
	550	1460	327	-87.72	-117.32	0.87	0.85090	87.72	14.4	15.23
	600	1381	292	-113.22	-145.80	1.07	0.95656	113.22	13.6	18.02
	650	1309	262	-143.32	-178.88	1.29	1.06817	143.32	12.9	21.05
	700	1243	237	-178.53	-217.07	1.54	1.18587	178.53	12.2	24.35
	750	1184	215	-219.42	-260.95	1.82	1.30964	219.42	11.7	27.94
	800	1132	196	-266.57	-311.07	2.14	1.43932	266.57	11.2	31.82
	850	1088	181	-320.55	-368.04	2.48	1.57458	320.55	10.7	36.01
	900	1050	169	-381.94	-432.41	2.87	1.71502	381.94	10.4	40.52
	950	1018	159	-451.27	-504.72	3.28	1.86024	451.27	10.0	45.36
	1000	989	150	-529.07	-585.51	3.73	2.00992	529.07	9.7	50.52
	1050	963	142	-615.85	-675.26	4.22	2.16380	615.85	9.5	56.01
	1100	940	135	-712.08	-774.48	4.74	2.32167	712.08	9.3	61.82
	1150	919	129	-818.26	-883.64	5.30	2.48340	818.26	9.1	67.95
	1200	899	124	-934.86	-1003.2	5.90	2.64887	934.86	8.9	74.39
	1250	880	119	-1062.4	-1133.7	6.54	2.81801	1062.36	8.7	81.16
	1300	862	114	-1201.2	-1275.6	7.22	2.99075	1201.24	8.5	88.24
	1350	845	110	-1352.0	-1429.3	7.94	3.16707	1351.98	8.3	95.63
	1400	829	105	-1515.1	-1595.4	8.70	3.34694	1515.06	8.2	103.34
	1450	814	102	-1691.0	-1774.3	9.50	3.53035	1690.99	8.0	111.36
	1500	799	97.9	-1880.3	-1966.5	10.35	3.71730	1880.28	7.9	119.70
	1550	785	94.5	-2083.4	-2172.7	11.24	3.90779	2083.42	7.7	128.36
	1600	772	91.3	-2301.0	-2393.2	12.18	4.10186	2300.96	7.6	137.33
	1650	759	88.2	-2533.4	-2628.6	13.17	4.29951	2533.44	7.5	146.62
	1700	746	85.3	-2781.4	-2879.6	14.20	4.50078	2781.40	7.4	156.24
	1750	734	82.5	-3045.4	-3146.6	15.29	4.70571	3045.43	7.2	166.18
	1800	722	79.8	-3326.1	-3430.2	16.42	4.91434	3326.10	7.1	176.45
	1850	710	77.3	-3624.0	-3731.1	17.61	5.12672	3624.02	7.0	187.06
	1900	699	74.8	-3939.8	-4049.9	18.84	5.34289	3939.82	6.9	198.01
	1950	688	72.5	-4274.1	-4387.2	20.14	5.56291	4274.13	6.8	209.31
	2000	677	70.3	-4627.6	-4743.7	21.48	5.78685	4627.63	6.7	220.95

