Range,Velocity,Energy,ComeUp,ComeUpMOA,ComeUpMrads,SpinDrift,SpinDriftMOA,SpinDriftMrads,WindDrift,WindDriftMOA,WindDriftMrads,TimeOfFlight,VerticalWindJump,VerticalWindJumpMOA,VerticalWindJumpMrads,TotalComeUp,TotalComeUpMOA,TotalComeUpMrads,TotalWindDrift,TotalWindDriftMOA,TotalWindDriftMrads,Gyro
"0","2790","1296.0922","-1.5009667","0","0","0","0","0","0","0","0","0","-0.0009666681","0","0","0","0","0","0","0","0","1.8846145"
"50","2666.547","1183.93","-0.13789706","-0.26338336","-0.07660948","-0.010363479","-0.019794244","-0.0057574883","0","0","0","0.054995168","4.3213367E-07","8.253753E-07","2.4007426E-07","0","0","0","-0.010363479","-0.019794244","-0.0057574883","2.0130382"
"100","2546.4285","1079.6685","0","0","0","-0.043093883","-0.041154657","-0.011970523","0","0","0","0.11256146","0","0","0","0","0","0","-0.043093883","-0.041154657","-0.011970523","2.143589"
"150","2428.4727","981.9603","-1.2010801","-0.76468766","-0.22242224","-0.10058762","-0.06404079","-0.018627338","0","0","0","0.17287971","2.3841858E-07","1.5179316E-07","4.4151587E-08","0","0","0","-0.10058762","-0.06404079","-0.018627338","2.279356"
"200","2312.7666","890.6173","-3.8754485","-1.8505266","-0.5382567","-0.18542776","-0.088541746","-0.025753854","0","0","0","0.2361716","1.66893E-06","7.9691415E-07","2.3179585E-07","0","0","0","-0.18542776","-0.088541746","-0.025753854","2.4308655"
"249.99998","2199.5671","805.56744","-8.175206","-3.1229293","-0.9083564","-0.30054927","-0.11480983","-0.033394367","0","0","0","0.30267724","-9.536743E-07","-3.6430362E-07","-1.0596382E-07","0","0","0","-0.30054927","-0.11480983","-0.033394367","2.596574"
"300","2089.1082","726.6902","-14.2708645","-4.5428934","-1.3213768","-0.44916064","-0.1429828","-0.041588947","0","0","0","0.3726524","1.9073486E-06","6.0717264E-07","1.7660635E-07","0","0","0","-0.44916064","-0.1429828","-0.041588947","2.7823741"
"350.00003","1981.5282","653.77454","-22.357504","-6.100407","-1.7744058","-0.6349616","-0.17325379","-0.050393775","0","0","0","0.44637632","-1.9073486E-06","-5.204337E-07","-1.5137687E-07","0","0","0","-0.6349616","-0.17325379","-0.050393775","2.9733727"
"400","1876.4758","586.2913","-32.65752","-7.7969894","-2.2678852","-0.8618875","-0.20577565","-0.0598533","0","0","0","0.5241647","-3.8146973E-06","-9.10759E-07","-2.6490954E-07","0","0","0","-0.8618875","-0.20577565","-0.0598533","3.1672702"
"450","1774.1106","524.06946","-45.426296","-9.640482","-2.804096","-1.1341054","-0.24068236","-0.070006505","0","0","0","0.6063767","0","0","0","0","0","0","-1.1341054","-0.24068236","-0.070006505","3.387873"
"500.00003","1674.554","466.90207","-60.956165","-11.642649","-3.3864598","-1.4563855","-0.2781696","-0.080910295","0","0","0","0.69340366","0","0","0","0","0","0","-1.4563855","-0.2781696","-0.080910295","3.5922794"
"550","1577.6414","414.42322","-79.58511","-13.818908","-4.019461","-1.8335472","-0.3183705","-0.0926034","0","0","0","0.78569055","0","0","0","0","0","0","-1.8335472","-0.3183705","-0.0926034","3.8050056"
"600","1483.1207","366.25238","-101.70739","-16.188486","-4.708693","-2.270967","-0.36146227","-0.10513736","0","0","0","0.88374996","-7.6293945E-06","-1.2143453E-06","-3.532127E-07","0","0","0","-2.270967","-0.36146227","-0.10513736","4.2019973"
"649.99994","1390.5754","321.97086","-127.781715","-18.774178","-5.4607844","-2.7760048","-0.40785918","-0.11863269","0","0","0","0.9881995","0","0","0","0","0","0","-2.7760048","-0.40785918","-0.11863269","4.686333"
"699.99994","1300.1244","281.44745","-158.35078","-21.603714","-6.283803","-3.357685","-0.45808423","-0.13324149","0","0","0","1.0997564","-1.5258789E-05","-2.081735E-06","-6.055075E-07","0","0","0","-3.357685","-0.45808423","-0.13324149","5.3449574"
"749.9999","1212.4426","244.76534","-194.06389","-24.711018","-7.1876144","-4.026147","-0.51266277","-0.14911658","0","0","0","1.2192479","-1.5258789E-05","-1.9429528E-06","-5.6514045E-07","0","0","0","-4.026147","-0.51266277","-0.14911658","5.946422"
"799.9999","1132.9093","213.70653","-235.68582","-28.13531","-8.183627","-4.790882","-0.5719116","-0.16635008","0","0","0","1.3473688","0","0","0","0","0","0","-4.790882","-0.5719116","-0.16635008","6.0269117"
"849.9999","1074.1168","192.1014","-284.0498","-31.914291","-9.282807","-5.6636596","-0.6363289","-0.18508694","0","0","0","1.483533","0","0","0","0","0","0","-5.6636596","-0.6363289","-0.18508694","6.711078"
