	Name:	22 CCI Stinger		Altitude:	0	feet
	G1 BC:	0.365		Temperature:	59	øF
	Muzzle Vel:	2600	f/s	Pressure:	29.53	in Hg
	Sight Adj:	5.651	MOA	Humidity:	0	%
	Zeroed Rng:	100	yards	Wind Speed:	0	mph
	Bullet Wgt:	69.0	grains	Wind Dir:	12:00	O'clk
	Sight Height:	3.20	in	Range Slope:	0	deg
	Spin Drift:	Off
	Coriolis:	On
	Shooting Dir:	90.0	deg	Latitude:	45.0	deg
	Close Zeroed Rng:	100.1	yards

				Report Trace

	Range	Velocity	Energy	Path	Drop	Drift	TOF	CDFC	Mntum	Zero Adj
	Yards	f/s	ft-lb	inches	inches	inches	sec	inches	lb-f/s	MOA
	0	2600	1036	-3.20	0.00	0.00	0.00000	3.20	25.6	----
	50	2480	942	-0.90	-0.66	0.01	0.05908	0.90	24.4	1.72
	100	2362	855	0.00	-2.72	0.02	0.12106	0.00	23.3	0.00
	150	2248	775	-0.65	-6.32	0.05	0.18615	0.65	22.2	0.41
	200	2137	700	-3.00	-11.63	0.09	0.25458	3.00	21.1	1.43
	250	2029	631	-7.24	-18.83	0.15	0.32661	7.24	20.0	2.77
	300	1925	568	-13.57	-28.13	0.22	0.40251	13.57	19.0	4.32
	350	1824	510	-22.24	-39.75	0.31	0.48258	22.24	18.0	6.07
	400	1726	457	-33.50	-53.97	0.42	0.56714	33.50	17.0	8.00
	450	1633	409	-47.65	-71.08	0.55	0.65649	47.65	16.1	10.11
	500	1544	365	-65.03	-91.42	0.70	0.75098	65.03	15.2	12.42
	550	1460	327	-86.04	-115.39	0.87	0.85090	86.04	14.4	14.94
	600	1381	292	-111.09	-143.39	1.07	0.95656	111.09	13.6	17.68
	650	1309	262	-140.66	-175.92	1.29	1.06817	140.66	12.9	20.66
	700	1243	237	-175.26	-213.49	1.54	1.18587	175.26	12.2	23.91
	750	1184	215	-215.45	-256.63	1.82	1.30964	215.45	11.7	27.43
	800	1132	196	-261.79	-305.93	2.14	1.43932	261.79	11.2	31.25
	850	1088	181	-314.85	-361.96	2.48	1.57458	314.85	10.7	35.37
	900	1050	169	-375.20	-425.26	2.87	1.71502	375.20	10.4	39.81
	950	1018	159	-443.36	-496.38	3.28	1.86024	443.36	10.0	44.57
	1000	989	150	-519.85	-575.83	3.73	2.00992	519.85	9.7	49.64
	1050	963	142	-605.16	-664.10	4.22	2.16380	605.16	9.5	55.04
	1100	940	135	-699.78	-761.68	4.74	2.32167	699.78	9.3	60.75
	1150	919	129	-804.18	-869.04	5.30	2.48340	804.18	9.1	66.78
	1200	899	124	-918.83	-986.64	5.90	2.64887	918.83	8.9	73.12
	1250	880	119	-1044.2	-1115.0	6.54	2.81801	1044.19	8.7	79.77
	1300	862	114	-1180.7	-1254.5	7.22	2.99075	1180.75	8.5	86.73
	1350	845	110	-1329.0	-1405.7	7.94	3.16708	1328.97	8.3	94.01
	1400	829	105	-1489.3	-1569.0	8.70	3.34694	1489.33	8.2	101.59
	1450	814	102	-1662.3	-1744.9	9.50	3.53035	1662.33	8.0	109.48
	1500	799	97.9	-1848.5	-1934.0	10.35	3.71730	1848.46	7.9	117.68
	1550	785	94.5	-2048.2	-2136.7	11.24	3.90780	2048.22	7.7	126.19
	1600	772	91.3	-2262.1	-2353.6	12.18	4.10186	2262.14	7.6	135.01
	1650	759	88.2	-2490.7	-2585.2	13.17	4.29951	2490.74	7.5	144.15
	1700	746	85.3	-2734.6	-2832.0	14.20	4.50079	2734.58	7.4	153.61
	1750	734	82.5	-2994.2	-3094.6	15.29	4.70571	2994.22	7.2	163.39
	1800	722	79.8	-3270.2	-3373.5	16.42	4.91434	3270.22	7.1	173.49
	1850	710	77.3	-3563.2	-3669.5	17.61	5.12672	3563.19	7.0	183.92
	1900	699	74.8	-3873.7	-3983.0	18.84	5.34289	3873.74	6.9	194.69
	1950	688	72.5	-4202.5	-4314.7	20.14	5.56291	4202.50	6.8	205.80
	2000	677	70.3	-4550.1	-4665.3	21.48	5.78685	4550.13	6.7	217.25

