Range,Velocity,Energy,ComeUp,ComeUpMOA,ComeUpMrads,SpinDrift,SpinDriftMOA,SpinDriftMrads,WindDrift,WindDriftMOA,WindDriftMrads,TimeOfFlight,VerticalWindJump,VerticalWindJumpMOA,VerticalWindJumpMrads,TotalComeUp,TotalComeUpMOA,TotalComeUpMrads,TotalWindDrift,TotalWindDriftMOA,TotalWindDriftMrads,Gyro
"0","2790","1296.0924","-1.5678365","0","0","0","0","0","0","0","0","0","-0.06783652","0","0","0","0","0","0","0","0","2.1205235"
"25.000002","2735.5938","1246.0363","-0.61320436","-2.3424406","-0.68133813","-0.0026393603","-0.010082356","-0.0029326223","0","0","0","0.027149996","-0.00382936","-0.014628153","-0.004254844","0","0","0","-0.0026393603","-0.010082356","-0.0029326223","2.18377"
"50","2681.7896","1197.5037","-0.08536848","-0.1630538","-0.04742693","-0.010655331","-0.020351684","-0.005919629","0","0","0","0.05483815","0.0005690232","0.0010868344","0.000316124","0","0","0","-0.010655331","-0.020351684","-0.005919629","2.2496917"
"75.00001","2628.6077","1150.4799","0.10340797","0.1316728","0.038299244","-0.024415618","-0.031089215","-0.00904282","0","0","0","0.08308796","-0.0059670284","-0.0075980155","-0.0022100103","0","0","0","-0.024415618","-0.031089215","-0.00904282","2.3183925"
"100","2576.0564","1104.9388","0","0","0","-0.044166844","-0.042179335","-0.012268567","0","0","0","0.11190983","0","0","0","0","0","0","-0.044166844","-0.042179335","-0.012268567","2.387128"
"125","2524.1533","1060.8622","-0.44848055","-0.34263915","-0.09966235","-0.07023266","-0.053657755","-0.015607258","0","0","0","0.14132166","-0.0031680465","-0.0024203877","-0.00070401037","0","0","0","-0.07023266","-0.053657755","-0.015607258","2.458625"
"150","2472.9072","1018.2236","-1.1927443","-0.75938046","-0.22087856","-0.10294537","-0.06554189","-0.019063959","0","0","0","0.17134106","-0.005244255","-0.0033388422","-0.0009711583","0","0","0","-0.10294537","-0.06554189","-0.019063959","2.5330653"
"175","2422.325","976.99493","-2.2965212","-1.2532444","-0.3645272","-0.14264973","-0.07784599","-0.022642814","0","0","0","0.20198531","0.00035381317","0.00019308091","5.616082E-05","0","0","0","-0.14264973","-0.07784599","-0.022642814","2.6105752"
"200.00002","2372.4136","937.1482","-3.7970748","-1.813103","-0.52737147","-0.18970314","-0.09058324","-0.026347656","0","0","0","0.2332714","-0.00019979477","-9.540199E-05","-2.774927E-05","0","0","0","-0.18970314","-0.09058324","-0.026347656","2.691289"
"225","2323.0576","898.5607","-5.6607404","-2.40267","-0.6988569","-0.24447654","-0.10376671","-0.030182289","0","0","0","0.26521719","-0.0044903755","-0.001905915","-0.0005543674","0","0","0","-0.24447654","-0.10376671","-0.030182289","2.7659667"
"250","2274.0674","861.06146","-7.9296107","-3.0291116","-0.881068","-0.3073823","-0.11742003","-0.034153588","0","0","0","0.29784968","7.677078E-05","2.932644E-05","8.530087E-06","0","0","0","-0.3073823","-0.11742003","-0.034153588","2.8426802"
"275","2225.4612","824.64594","-10.634934","-3.6932235","-1.074236","-0.3787186","-0.13151865","-0.038254406","0","0","0","0.33118784","-0.0021219254","-0.0007368868","-0.0002143359","0","0","0","-0.3787186","-0.13151865","-0.038254406","2.923373"
"300","2177.265","789.3144","-13.767101","-4.382529","-1.274732","-0.4588916","-0.14608048","-0.04248996","0","0","0","0.36525857","-0.0014762878","-0.0004699516","-0.00013669331","0","0","0","-0.4588916","-0.14608048","-0.04248996","3.0082514"
"324.99997","2129.5027","755.06415","-17.353762","-5.0993385","-1.4832283","-0.548331","-0.16112497","-0.046865903","0","0","0","0.40008935","-0.002199173","-0.0006462186","-0.00018796352","0","0","0","-0.548331","-0.16112497","-0.046865903","3.0975342"
"349.99997","2082.1978","721.8907","-21.434593","-5.848585","-1.7011591","-0.64748186","-0.17667007","-0.051387455","0","0","0","0.43570754","-0.0049057007","-0.0013385556","-0.00038934135","0","0","0","-0.64748186","-0.17667007","-0.051387455","3.1904757"
"374.99997","2035.3685","689.7847","-25.99397","-6.619802","-1.9254806","-0.7567911","-0.19272947","-0.056058604","0","0","0","0.47214022","-0.001783371","-0.00045416516","-0.00013210156","0","0","0","-0.7567911","-0.19272947","-0.056058604","3.2869549"
"399.9999","1989.0342","658.73694","-31.087198","-7.4220753","-2.1588352","-0.876703","-0.2093129","-0.06088217","0","0","0","0.5094144","-0.0012607574","-0.00030100593","-8.7552624E-05","0","0","0","-0.876703","-0.2093129","-0.06088217","3.3885891"
"424.99988","1943.2174","628.73883","-36.7263","-8.252625","-2.4004147","-1.0077752","-0.22645305","-0.06586767","0","0","0","0.5475645","0.0002632141","5.9145776E-05","1.7203542E-05","0","0","0","-1.0077752","-0.22645305","-0.06586767","3.4956498"
"449.9999","1897.935","599.7775","-42.944942","-9.113884","-2.6509259","-1.1505009","-0.24416189","-0.071018584","0","0","0","0.58661807","0.00037002563","7.852767E-05","2.2841092E-05","0","0","0","-1.1505009","-0.24416189","-0.071018584","3.6084344"
"474.99988","1853.2068","571.84094","-49.77679","-10.0077715","-2.9109282","-1.3054777","-0.2624698","-0.076343745","0","0","0","0.6266093","-0.003353119","-0.0006741535","-0.00019608886","0","0","0","-1.3054777","-0.2624698","-0.076343745","3.7272487"
"499.99988","1809.0145","544.8935","-57.218243","-10.928705","-3.1787975","-1.4733161","-0.28140342","-0.08185091","0","0","0","0.6675716","0.00050735474","9.6904776E-05","2.8186381E-05","0","0","0","-1.4733161","-0.28140342","-0.08185091","3.8367748"
"524.9999","1765.2727","518.8611","-65.34624","-11.886818","-3.4574807","-1.6545789","-0.30097583","-0.087543875","0","0","0","0.70954055","-0.0024871826","-0.00045243042","-0.00013159699","0","0","0","-1.6545789","-0.30097583","-0.087543875","3.9454854"
"549.9998","1722.0004","493.73514","-74.15118","-12.875375","-3.7450187","-1.8499","-0.32121","-0.09342932","0","0","0","0.7525593","-0.0027389526","-0.00047558188","-0.00013833097","0","0","0","-1.8499","-0.32121","-0.09342932","4.0608225"
"574.9998","1679.2202","469.5078","-83.70638","-13.90258","-4.043799","-2.0598547","-0.3421151","-0.09950992","0","0","0","0.7966654","-0.0032577515","-0.0005410702","-0.00015737934","0","0","0","-2.0598547","-0.3421151","-0.09950992","4.1831517"
"599.99976","1636.9556","446.17093","-94.01187","-14.963609","-4.352417","-2.2851367","-0.36371773","-0.10579341","0","0","0","0.8419031","-0.004058838","-0.0006460319","-0.00018790923","0","0","0","-2.2851367","-0.36371773","-0.10579341","4.3128557"
"624.99976","1595.2284","423.71445","-105.14699","-16.066525","-4.6732183","-2.5264633","-0.3860437","-0.11228729","0","0","0","0.88831645","-0.006362915","-0.0009722538","-0.00028279633","0","0","0","-2.5264633","-0.3860437","-0.11228729","4.4503336"
"649.99976","1554.0414","402.11722","-117.12377","-17.208261","-5.005312","-2.7846062","-0.40912303","-0.1190003","0","0","0","0.9359518","-0.0065841675","-0.0009673665","-0.00028137479","0","0","0","-2.7846062","-0.40912303","-0.1190003","4.5732675"
"674.9997","1513.3325","381.32587","-129.9879","-18.390976","-5.349324","-3.0602894","-0.4329745","-0.1259379","0","0","0","0.9848587","-0.0035247803","-0.00049869134","-0.00014505275","0","0","0","-3.0602894","-0.4329745","-0.1259379","4.6858"
"699.99976","1473.1161","361.32782","-143.8067","-19.619455","-5.7066483","-3.3542233","-0.45761204","-0.13310415","0","0","0","1.0350925","-0.0020141602","-0.00027478905","-7.992701E-05","0","0","0","-3.3542233","-0.45761204","-0.13310415","4.8070645"
"724.9997","1433.4177","342.11572","-158.62587","-20.894993","-6.0776596","-3.667162","-0.48305392","-0.14050435","0","0","0","1.0867094","-0.000869751","-0.00011456726","-3.332381E-05","0","0","0","-3.667162","-0.48305392","-0.14050435","4.93746"
"749.9997","1394.2091","323.6557","-174.51877","-22.222221","-6.463706","-3.9998693","-0.50931686","-0.14814337","0","0","0","1.1397643","-0.0031433105","-0.0004002484","-0.00011641896","0","0","0","-3.9998693","-0.50931686","-0.14814337","5.138207"
"774.99976","1355.3364","305.8593","-191.5034","-23.598354","-6.8639774","-4.3534164","-0.5364534","-0.15603648","0","0","0","1.194328","-0.00340271","-0.0004193018","-0.00012196097","0","0","0","-4.3534164","-0.5364534","-0.15603648","5.3897367"
"799.9997","1316.8217","288.72305","-209.67117","-25.029728","-7.2803164","-4.7289543","-0.56451917","-0.16419987","0","0","0","1.2504721","0.0007019043","8.378986E-05","2.4371688E-05","0","0","0","-4.7289543","-0.56451917","-0.16419987","5.6586967"
"824.99963","1278.7039","272.24973","-229.10503","-26.520916","-7.714054","-5.127791","-0.5935809","-0.17265297","0","0","0","1.3082763","-0.0034637451","-0.00040095492","-0.00011662447","0","0","0","-5.127791","-0.5935809","-0.17265297","5.9463954"
"849.99963","1241.0027","256.43243","-249.85307","-28.072052","-8.165228","-5.5512757","-0.6237024","-0.18141432","0","0","0","1.36782","-0.0015106201","-0.00016972268","-4.9366692E-05","0","0","0","-5.5512757","-0.6237024","-0.18141432","6.282596"
"874.9997","1203.6698","241.23608","-272.0163","-29.689013","-8.635548","-6.0008664","-0.65495193","-0.19050376","0","0","0","1.4291918","-0.0006713867","-7.327709E-05","-2.1313872E-05","0","0","0","-6.0008664","-0.65495193","-0.19050376","6.6692033"
"899.9996","1166.7362","226.6589","-295.70172","-31.37769","-9.126727","-6.478116","-0.6874004","-0.19994195","0","0","0","1.4924892","-0.0064086914","-0.00068003364","-0.0001977992","0","0","0","-6.478116","-0.6874004","-0.19994195","7.0852804"
"924.99963","1130.3335","212.73584","-320.92978","-33.134354","-9.637684","-6.9846053","-0.7211135","-0.20974797","0","0","0","1.55781","-9.1552734E-05","-9.452204E-06","-2.7493322E-06","0","0","0","-6.9846053","-0.7211135","-0.20974797","7.4535184"
"949.9996","1094.7625","199.55714","-347.87244","-34.97095","-10.171888","-7.521802","-0.7561394","-0.21993583","0","0","0","1.6252456","-0.0052490234","-0.0005276652","-0.00015348029","0","0","0","-7.521802","-0.7561394","-0.21993583","7.746977"
"974.99945","1060.5673","187.2854","-376.64148","-36.892277","-10.730739","-8.091058","-0.79250914","-0.23051459","0","0","0","1.69487","-0.0008544922","-8.369646E-05","-2.4344521E-05","0","0","0","-8.091058","-0.79250914","-0.23051459","7.784532"
"999.9995","1029.0767","176.32869","-407.3415","-38.90196","-11.315288","-8.69363","-0.83024204","-0.24148983","0","0","0","1.7667098","-0.005554199","-0.0005304263","-0.00015428338","0","0","0","-8.69363","-0.83024204","-0.24148983","7.830943"
"1024.9995","1002.5789","167.365","-440.07233","-41.002853","-11.926368","-9.331698","-0.8694415","-0.25289166","0","0","0","1.840589","-0.0020141602","-0.00018766086","-5.458431E-05","0","0","0","-9.331698","-0.8694415","-0.25289166","8.105785"
"1049.9995","979.4151","159.72067","-474.9566","-43.199593","-12.565327","-10.007656","-0.91022056","-0.26475292","0","0","0","1.9163219","-0.003479004","-0.0003164238","-9.2037175E-05","0","0","0","-10.007656","-0.91022056","-0.26475292","8.585448"
"1074.9995","958.1491","152.85995","-512.0977","-45.494675","-13.23289","-10.723798","-0.95267266","-0.27710083","0","0","0","1.9937661","-0.003967285","-0.00035244267","-0.00010251387","0","0","0","-10.723798","-0.95267266","-0.27710083","9.162445"
"1099.9995","935.4008","145.68773","-551.61475","-47.891754","-13.93012","-11.481418","-0.9967962","-0.2899349","0","0","0","2.073026","-0.0053710938","-0.00046630882","-0.00013563375","0","0","0","-11.481418","-0.9967962","-0.2899349","9.8269825"
"1124.9995","915.42053","139.53038","-593.57733","-50.389942","-14.65676","-12.282718","-1.0426666","-0.30327708","0","0","0","2.1541386","0.00079345703","6.735571E-05","1.9591538E-05","0","0","0","-12.282718","-1.0426666","-0.30327708","10.3657675"
"1149.9995","896.0861","133.69864","-638.14185","-52.995636","-15.41467","-13.130983","-1.0904429","-0.31717363","0","0","0","2.2369914","-0.0012207031","-0.00010137147","-2.9485594E-05","0","0","0","-13.130983","-1.0904429","-0.31717363","10.869174"
"1174.9995","877.3134","128.15543","-685.3901","-55.708633","-16.20379","-14.028335","-1.1401757","-0.33163923","0","0","0","2.321652","0.0005493164","4.4646582E-05","1.2986208E-05","0","0","0","-14.028335","-1.1401757","-0.33163923","11.280649"
