Range,Velocity,Energy,ComeUp,ComeUpMOA,ComeUpMrads,SpinDrift,SpinDriftMOA,SpinDriftMrads,WindDrift,WindDriftMOA,WindDriftMrads,TimeOfFlight,VerticalWindJump,VerticalWindJumpMOA,VerticalWindJumpMrads,TotalComeUp,TotalComeUpMOA,TotalComeUpMrads,TotalWindDrift,TotalWindDriftMOA,TotalWindDriftMrads,Gyro
"0","2599.9998","3301.6838","-1.5010464","0","0","0","0","0","0","0","0","0","-0.0010464191","0","0","0","0","0","0","0","0","3.7099507"
"25","2568.6116","3222.4468","-0.6232776","-2.3809204","-0.6925307","-0.003940004","-0.015050815","-0.0043777823","0","0","0","0.029022686","1.9669533E-06","7.513761E-06","2.1855035E-06","0","0","0","-0.003940004","-0.015050815","-0.0043777823","3.7704809"
"50","2537.3948","3144.5964","-0.07595284","-0.14506993","-0.04219602","-0.0158517","-0.03027675","-0.008806501","0","0","0","0.058400698","1.5944242E-06","3.0453505E-06","8.857913E-07","0","0","0","-0.0158517","-0.03027675","-0.008806501","3.829683"
"75","2506.3503","3068.121","0.13463868","0.17143992","0.049866177","-0.03594927","-0.045775406","-0.013314545","0","0","0","0.08814114","-1.0579824E-06","-1.3471644E-06","-3.9184536E-07","0","0","0","-0.03594927","-0.045775406","-0.013314545","3.8904612"
"100","2475.482","2993.0117","0","0","0","-0.06445054","-0.06155027","-0.01790293","0","0","0","0.118251085","0","0","0","0","0","0","-0.06445054","-0.06155027","-0.01790293","3.9528615"
"125","2444.793","2919.2625","-0.48849154","-0.3732075","-0.10855367","-0.101577505","-0.07760521","-0.022572778","0","0","0","0.14873758","-4.7683716E-07","-3.643036E-07","-1.05963814E-07","0","0","0","-0.101577505","-0.07760521","-0.022572778","4.016929"
"150","2414.2883","2846.867","-1.3395431","-0.8528425","-0.24806355","-0.14755642","-0.09394426","-0.027325265","0","0","0","0.17960764","-7.1525574E-07","-4.553795E-07","-1.3245477E-07","0","0","0","-0.14755642","-0.09394426","-0.027325265","4.082707"
"175","2383.9717","2775.8188","-2.5636578","-1.3990246","-0.40692982","-0.20265897","-0.11059389","-0.03216809","0","0","0","0.21086997","1.9073486E-06","1.0408673E-06","3.0275373E-07","0","0","0","-0.20265897","-0.11059389","-0.03216809","4.1502414"
"200.00002","2353.8474","2706.1106","-4.1696386","-1.9910026","-0.5791165","-0.26711658","-0.12754816","-0.03709952","0","0","0","0.24253134","9.536743E-07","4.5537945E-07","1.3245476E-07","0","0","0","-0.26711658","-0.12754816","-0.03709952","4.2195787"
"224.99998","2323.9172","2637.7292","-6.1657515","-2.6170192","-0.761204","-0.3411502","-0.1447993","-0.04211731","0","0","0","0.2745977","9.536743E-07","4.0478182E-07","1.17737585E-07","0","0","0","-0.3411502","-0.1447993","-0.04211731","4.2907753"
"250","2294.1863","2570.67","-8.565184","-3.2719004","-0.95168716","-0.4251033","-0.16238946","-0.0472337","0","0","0","0.3070802","1.9073486E-06","7.286072E-07","2.1192763E-07","0","0","0","-0.4251033","-0.16238946","-0.0472337","4.364097"
"275","2264.6348","2504.8704","-11.37477","-3.9501479","-1.1489668","-0.5191616","-0.18029065","-0.05244056","0","0","0","0.33998302","9.536743E-07","3.311851E-07","9.6330744E-08","0","0","0","-0.5191616","-0.18029065","-0.05244056","4.4407396"
"300","2235.257","2440.3035","-14.6095","-4.6506925","-1.352732","-0.62370616","-0.19854647","-0.05775057","0","0","0","0.37331906","9.536743E-07","3.0358632E-07","8.8303175E-08","0","0","0","-0.62370616","-0.19854647","-0.05775057","4.519579"
"324.99997","2206.0562","2376.9607","-18.277388","-5.370743","-1.5621706","-0.7389455","-0.21713632","-0.063157745","0","0","0","0.40709373","-1.9073486E-06","-5.6046713E-07","-1.6302127E-07","0","0","0","-0.7389455","-0.21713632","-0.063157745","4.600684"
"349.99997","2177.036","2314.8354","-22.390608","-6.109441","-1.7770334","-0.86519367","-0.23607428","-0.06866617","0","0","0","0.4413168","1.9073486E-06","5.2043373E-07","1.5137688E-07","0","0","0","-0.86519367","-0.23607428","-0.06866617","4.684124"
"374.99994","2148.201","2253.9211","-26.961538","-6.866211","-1.9971527","-1.0027705","-0.2553723","-0.074279316","0","0","0","0.47599775","-1.9073486E-06","-4.857382E-07","-1.4128511E-07","0","0","0","-1.0027705","-0.2553723","-0.074279316","4.769969"
"399.9999","2119.5557","2194.212","-32.002678","-7.640647","-2.2224104","-1.1520026","-0.27504066","-0.08000019","0","0","0","0.51114607","0","0","0","0","0","0","-1.1520026","-0.27504066","-0.08000019","4.858289"
"424.99994","2091.104","2135.6995","-37.52677","-8.432496","-2.452733","-1.3132231","-0.295089","-0.08583159","0","0","0","0.5467713","0","0","0","0","0","0","-1.3132231","-0.295089","-0.08583159","4.949157"
"449.9999","2062.8496","2078.3755","-43.546642","-9.241578","-2.6880682","-1.486771","-0.31552592","-0.091776006","0","0","0","0.58288276","0","0","0","0","0","0","-1.486771","-0.31552592","-0.091776006","5.042653"
"474.99985","2034.7955","2022.2296","-50.075333","-10.067795","-2.9283872","-1.672992","-0.33635956","-0.097835824","0","0","0","0.6194896","-3.8146973E-06","-7.6695517E-07","-2.2308178E-07","0","0","0","-1.672992","-0.33635956","-0.097835824","5.138856"
"499.99988","2006.946","1967.2535","-57.129112","-10.91168","-3.1738455","-1.872316","-0.35761243","-0.10401758","0","0","0","0.6566041","3.8146973E-06","7.2860735E-07","2.1192767E-07","0","0","0","-1.872316","-0.35761243","-0.10401758","5.2339263"
"524.9998","1979.2963","1913.4209","-64.72028","-11.772954","-3.4243612","-2.0850542","-0.3792814","-0.11032036","0","0","0","0.6942346","0","0","0","0","0","0","-2.0850542","-0.3792814","-0.11032036","5.310669"
"549.9998","1951.8458","1860.7155","-72.86597","-12.652214","-3.6801088","-2.3115847","-0.40137526","-0.11674673","0","0","0","0.73239344","0","0","0","0","0","0","-2.3115847","-0.40137526","-0.11674673","5.3898783"
"574.9998","1924.5977","1809.1261","-81.57992","-13.549399","-3.9410703","-2.5521944","-0.42388633","-0.12329445","0","0","0","0.77109015","0","0","0","0","0","0","-2.5521944","-0.42388633","-0.12329445","5.4716253"
"599.9998","1897.556","1758.6447","-90.87915","-14.464979","-4.207382","-2.8072479","-0.4468204","-0.12996522","0","0","0","0.81033635","-7.6293945E-06","-1.2143455E-06","-3.5321278E-07","0","0","0","-2.8072479","-0.4468204","-0.12996522","5.555972"
"624.99976","1870.7246","1709.2618","-100.78089","-15.399377","-4.479167","-3.0771186","-0.47018388","-0.13676088","0","0","0","0.8501441","7.6293945E-06","1.1657719E-06","3.3908432E-07","0","0","0","-3.0771186","-0.47018388","-0.13676088","5.6429863"
"649.99976","1844.1057","1660.9655","-111.30275","-16.35301","-4.7565475","-3.362185","-0.4939827","-0.14368317","0","0","0","0.89052516","0","0","0","0","0","0","-3.362185","-0.4939827","-0.14368317","5.7327404"
"674.9997","1817.7036","1613.7456","-122.46241","-17.326244","-5.039629","-3.6628304","-0.51822287","-0.15073383","0","0","0","0.9314913","7.6293945E-06","1.0794184E-06","3.1396698E-07","0","0","0","-3.6628304","-0.51822287","-0.15073383","5.825304"
"699.9998","1791.5206","1567.5901","-134.278","-18.319447","-5.3285184","-3.9794478","-0.5429105","-0.15791464","0","0","0","0.97305435","0","0","0","0","0","0","-3.9794478","-0.5429105","-0.15791464","5.920758"
"724.9997","1765.5591","1522.4863","-146.76788","-19.332983","-5.623323","-4.3124375","-0.56805235","-0.16522756","0","0","0","1.0152255","1.5258789E-05","2.0099517E-06","5.846282E-07","0","0","0","-4.3124375","-0.56805235","-0.16522756","6.019178"
"749.9997","1739.8228","1478.4237","-159.9552","-20.367756","-5.9243035","-4.6623135","-0.59366816","-0.17267835","0","0","0","1.0580204","-1.5258789E-05","-1.9429535E-06","-5.651406E-07","0","0","0","-4.6623135","-0.59366816","-0.17267835","6.120643"
"774.9997","1714.3124","1435.3864","-173.8576","-21.423891","-6.2314982","-5.029461","-0.6197597","-0.1802675","0","0","0","1.1014495","0","0","0","0","0","0","-5.029461","-0.6197597","-0.1802675","6.213631"
"799.9997","1689.0254","1393.3534","-188.49742","-22.502048","-6.5450983","-5.4143295","-0.6463359","-0.18799764","0","0","0","1.1455269","0","0","0","0","0","0","-5.4143295","-0.6463359","-0.18799764","6.2909713"
"824.9997","1663.9636","1352.311","-203.89752","-23.602877","-6.865293","-5.817326","-0.6733998","-0.19586964","0","0","0","1.1902667","0","0","0","0","0","0","-5.817326","-0.6733998","-0.19586964","6.37139"
"849.99963","1639.1301","1312.2476","-220.08107","-24.726978","-7.192257","-6.238854","-0.7009539","-0.20388421","0","0","0","1.2356828","0","0","0","0","0","0","-6.238854","-0.7009539","-0.20388421","6.454933"
"874.99963","1614.5264","1273.1489","-237.07178","-25.874947","-7.5261626","-6.6793327","-0.72900176","-0.2120424","0","0","0","1.2817897","0","0","0","0","0","0","-6.6793327","-0.72900176","-0.2120424","6.5416646"
"899.9996","1590.1544","1235.0017","-254.89345","-27.047318","-7.8671665","-7.1391773","-0.75754637","-0.22034508","0","0","0","1.3286009","1.5258789E-05","1.6191278E-06","4.709505E-07","0","0","0","-7.1391773","-0.75754637","-0.22034508","6.631642"
"924.9996","1566.0166","1197.7927","-273.57254","-28.244846","-8.2154875","-7.618862","-0.78659636","-0.22879475","0","0","0","1.376132","0","0","0","0","0","0","-7.618862","-0.78659636","-0.22879475","6.7249293"
"949.99963","1542.1078","1161.4977","-293.13547","-29.468199","-8.571321","-8.118865","-0.81615984","-0.2373938","0","0","0","1.4243983","0","0","0","0","0","0","-8.118865","-0.81615984","-0.2373938","6.844906"
"974.99963","1518.3672","1126.0107","-313.61084","-30.7182","-8.934904","-8.63973","-0.84625083","-0.24614626","0","0","0","1.4734168","0","0","0","0","0","0","-8.63973","-0.84625083","-0.24614626","7.00421"
"999.99945","1494.7847","1091.305","-335.02597","-31.995457","-9.306416","-9.182015","-0.8768829","-0.2550561","0","0","0","1.5232055","0","0","0","0","0","0","-9.182015","-0.8768829","-0.2550561","7.1688"
"1024.9995","1471.3657","1057.3777","-357.41095","-33.300777","-9.68609","-9.746327","-0.9080729","-0.26412824","0","0","0","1.5737833","-3.0517578E-05","-2.8433465E-06","-8.27035E-07","0","0","0","-9.746327","-0.9080729","-0.26412824","7.3388634"
"1049.9995","1448.1157","1024.2252","-380.79675","-34.63497","-10.0741625","-10.333305","-0.93983907","-0.27336797","0","0","0","1.6251704","0","0","0","0","0","0","-10.333305","-0.93983907","-0.27336797","7.5145936"
"1074.9995","1425.0404","991.8437","-405.21762","-35.999073","-10.470935","-10.943637","-0.97220254","-0.28278142","0","0","0","1.6773874","0","0","0","0","0","0","-10.943637","-0.97220254","-0.28278142","7.696188"
"1099.9995","1402.1438","960.2273","-430.70395","-37.393684","-10.876581","-11.577942","-1.0051762","-0.29237238","0","0","0","1.7304529","0","0","0","0","0","0","-11.577942","-1.0051762","-0.29237238","7.883861"
"1124.9995","1379.4318","929.3716","-457.29346","-38.819977","-11.291442","-12.236981","-1.038784","-0.30214778","0","0","0","1.78439","0","0","0","0","0","0","-12.236981","-1.038784","-0.30214778","8.077824"
"1149.9995","1356.9432","899.31604","-485.0218","-40.27883","-11.715775","-12.921452","-1.0730428","-0.31211248","0","0","0","1.8392192","0","0","0","0","0","0","-12.921452","-1.0730428","-0.31211248","8.272583"
"1174.9995","1334.7151","870.0938","-513.9263","-41.77122","-12.149861","-13.63195","-1.1079588","-0.32226843","0","0","0","1.89496","0","0","0","0","0","0","-13.63195","-1.1079588","-0.32226843","8.472433"
"1199.9995","1312.7489","841.6901","-544.04865","-43.298363","-12.594055","-14.369132","-1.1435438","-0.33261892","0","0","0","1.9516338","0","0","0","0","0","0","-14.369132","-1.1435438","-0.33261892","8.677518"
"1224.9993","1291.0442","814.0875","-575.4266","-44.861088","-13.0486","-15.1335335","-1.1797986","-0.34316424","0","0","0","2.0092578","0","0","0","0","0","0","-15.1335335","-1.1797986","-0.34316424","8.887979"
"1249.9994","1269.6022","787.27094","-608.105","-46.46066","-13.513863","-15.925845","-1.2167352","-0.35390785","0","0","0","2.067855","0","0","0","0","0","0","-15.925845","-1.2167352","-0.35390785","9.103954"
"1274.9994","1248.4429","761.2482","-642.1271","-48.09817","-13.99016","-16.746662","-1.2543584","-0.3648512","0","0","0","2.1274452","0","0","0","0","0","0","-16.746662","-1.2543584","-0.3648512","9.279002"
"1299.9994","1227.612","736.0566","-677.5387","-49.7748","-14.477836","-17.596464","-1.2926638","-0.37599298","0","0","0","2.1880476","0","0","0","0","0","0","-17.596464","-1.2926638","-0.37599298","9.442467"
"1324.9994","1207.1082","711.6743","-714.3864","-51.491688","-14.9772215","-18.475622","-1.3316398","-0.3873298","0","0","0","2.2496796","0","0","0","0","0","0","-18.475622","-1.3316398","-0.3873298","9.608891"
"1349.9994","1187.3392","688.5549","-752.7219","-53.25026","-15.488732","-19.384647","-1.3712848","-0.39886123","0","0","0","2.3123548","0","0","0","0","0","0","-19.384647","-1.3712848","-0.39886123","9.688104"
"1374.9994","1168.7139","667.12213","-792.5922","-55.05151","-16.012655","-20.324158","-1.4116057","-0.41058922","0","0","0","2.376053","0","0","0","0","0","0","-20.324158","-1.4116057","-0.41058922","9.73975"
"1399.9995","1151.4119","647.5157","-834.04767","-56.896584","-16.549326","-21.295038","-1.4526261","-0.4225207","0","0","0","2.4407408","0","0","0","0","0","0","-21.295038","-1.4526261","-0.4225207","9.767354"
"1424.9993","1135.584","629.83594","-877.1362","-58.78641","-17.099014","-22.298302","-1.4943781","-0.43466496","0","0","0","2.5063708","0","0","0","0","0","0","-22.298302","-1.4943781","-0.43466496","9.805709"
"1449.9991","1121.4","614.2004","-921.9021","-60.72157","-17.661888","-23.335007","-1.5368927","-0.44703102","0","0","0","2.5728743","0","0","0","0","0","0","-23.335007","-1.5368927","-0.44703102","9.83879"
"1474.9993","1108.5929","600.2512","-968.38684","-62.702457","-18.238062","-24.406195","-1.5801983","-0.4596272","0","0","0","2.6401837","0","0","0","0","0","0","-24.406195","-1.5801983","-0.4596272","9.989335"
"1499.9999","1096.932","587.69","-1016.63434","-64.729546","-18.827675","-25.512981","-1.6243265","-0.47246262","0","0","0","2.7082453","0","0","0","0","0","0","-25.512981","-1.6243265","-0.47246262","10.128409"
