Range,Velocity,Energy,ComeUp,ComeUpMOA,ComeUpMrads,SpinDrift,SpinDriftMOA,SpinDriftMrads,WindDrift,WindDriftMOA,WindDriftMrads,TimeOfFlight,VerticalWindJump,VerticalWindJumpMOA,VerticalWindJumpMrads,TotalComeUp,TotalComeUpMOA,TotalComeUpMrads,TotalWindDrift,TotalWindDriftMOA,TotalWindDriftMrads,Gyro
"0","2700","2379.0913","-1.5009854","0","0","0","0","0","0","0","0","0","-0.000985384","0","0","0","0","0","0","0","0","1.5914351"
"24.999998","2665.161","2318.0908","-0.7062561","-2.6978788","-0.7847121","-0.0021960472","-0.0083889","-0.0024400526","0","0","0","0.027960002","1.5258789E-05","5.8288577E-05","1.695421E-05","0","0","0","-0.0021960472","-0.0083889","-0.0024400526","1.6191312"
"50","2630.387","2257.9944","-0.1544348","-0.29498017","-0.08580187","-0.0088237785","-0.016853416","-0.0049020993","0","0","0","0.056285862","-3.0517578E-05","-5.8288577E-05","-1.695421E-05","0","0","0","-0.0088237785","-0.016853416","-0.0049020993","1.647703"
"75","2595.689","2198.816","0.0949772","0.12084961","0.03515625","-0.020039598","-0.025517086","-0.007422073","0","0","0","0.0849875","0","0","0","0","0","0","-0.020039598","-0.025517086","-0.007422073","1.6771775"
"100","2561.0764","2140.5662","0.031423245","0.030090332","0.008758545","-0.03602982","-0.034408476","-0.010008283","0","0","0","0.1140769","0","0","0","0","0","0","-0.03602982","-0.034408476","-0.010008283","1.7075853"
"125","2526.5588","2083.2551","-0.35113856","-0.26818848","-0.07800293","-0.0569235","-0.043489557","-0.012649667","0","0","0","0.143561","0","0","0","0","0","0","-0.0569235","-0.043489557","-0.012649667","1.738957"
"150","2492.151","2026.8998","-1.0619053","-0.6760864","-0.19665527","-0.08288999","-0.052773297","-0.015349999","0","0","0","0.17344981","0","0","0","0","0","0","-0.08288999","-0.052773297","-0.015349999","1.7689883"
"175","2457.8796","1971.5361","-2.1098971","-1.1513062","-0.33486938","-0.11408879","-0.06225988","-0.01810933","0","0","0","0.20375314","0","0","0","0","0","0","-0.11408879","-0.06225988","-0.01810933","1.7984002"
"200","2423.7551","1917.1719","-3.5044289","-1.6733398","-0.48672485","-0.15067185","-0.07194581","-0.020926647","0","0","0","0.2344807","0","0","0","0","0","0","-0.15067185","-0.07194581","-0.020926647","1.8287343"
"225","2389.7866","1863.8104","-5.2557507","-2.2306092","-0.64880407","-0.19281307","-0.08183844","-0.023804083","0","0","0","0.26564363","0.00024414062","0.00010362413","3.0140818E-05","0","0","0","-0.19281307","-0.08183844","-0.023804083","1.8600196"
"250","2355.9822","1811.455","-7.3753247","-2.8173218","-0.819458","-0.24068038","-0.091939904","-0.026742265","0","0","0","0.29725227","0","0","0","0","0","0","-0.24068038","-0.091939904","-0.026742265","1.8922864"
"275","2322.349","1760.1049","-9.871035","-3.4278193","-0.99703395","-0.29442132","-0.1022445","-0.029739527","0","0","0","0.3293151","-0.00024414062","-8.478339E-05","-2.466067E-05","0","0","0","-0.29442132","-0.1022445","-0.029739527","1.9255677"
"300","2288.8965","1709.7628","-12.755597","-4.060486","-1.1810608","-0.35425562","-0.11277137","-0.032801446","0","0","0","0.36184576","0","0","0","0","0","0","-0.35425562","-0.11277137","-0.032801446","1.959894"
"324.99997","2255.6306","1660.4259","-16.039188","-4.712962","-1.37084","-0.4203331","-0.12351327","-0.035925906","0","0","0","0.39485222","-0.00024414062","-7.173979E-05","-2.0866722E-05","0","0","0","-0.4203331","-0.12351327","-0.035925906","1.9953012"
"349.99997","2222.5571","1612.0906","-19.735685","-5.3848877","-1.5662842","-0.49290574","-0.13449286","-0.039119504","0","0","0","0.42834994","0","0","0","0","0","0","-0.49290574","-0.13449286","-0.039119504","2.0322306"
"374.99997","2189.6487","1564.705","-23.855734","-6.0751963","-1.7670774","-0.5721369","-0.14570421","-0.042380515","0","0","0","0.4623477","-0.00024414062","-6.2174484E-05","-1.8084493E-05","0","0","0","-0.5721369","-0.14570421","-0.042380515","2.0710864"
"399.99994","2156.9045","1518.2574","-28.411566","-6.783142","-1.972992","-0.6582434","-0.15715563","-0.045711353","0","0","0","0.49685875","0","0","0","0","0","0","-0.6582434","-0.15715563","-0.045711353","2.1112633"
"424.9999","2124.3345","1472.7511","-33.417355","-7.508972","-2.1841125","-0.75144696","-0.16885458","-0.04911419","0","0","0","0.5318965","0","0","0","0","0","0","-0.75144696","-0.16885458","-0.04911419","2.1528068"
"449.9999","2091.9465","1428.1859","-38.888435","-8.252851","-2.4004817","-0.8519745","-0.18080795","-0.052591026","0","0","0","0.56747425","-0.00048828125","-0.00010362416","-3.0140825E-05","0","0","0","-0.8519745","-0.18080795","-0.052591026","2.1957648"
"474.99988","2059.7495","1384.5619","-44.83633","-9.01438","-2.6219769","-0.96005756","-0.19302215","-0.05614373","0","0","0","0.60360503","-0.00048828125","-9.817025E-05","-2.8554465E-05","0","0","0","-0.96005756","-0.19302215","-0.05614373","2.2401881"
"499.99982","2027.752","1341.8785","-51.27566","-9.793579","-2.8486328","-1.0759426","-0.20550512","-0.05977461","0","0","0","0.64030284","0","0","0","0","0","0","-1.0759426","-0.20550512","-0.05977461","2.2861261"
"524.9998","1995.9622","1300.1342","-58.2258","-10.591492","-3.080719","-1.1999216","-0.21827151","-0.06348793","0","0","0","0.67758435","0","0","0","0","0","0","-1.1999216","-0.21827151","-0.06348793","2.333633"
"549.9998","1964.3868","1259.3243","-65.69946","-11.407898","-3.3181763","-1.3322165","-0.2313213","-0.06728368","0","0","0","0.7154606","0","0","0","0","0","0","-1.3322165","-0.2313213","-0.06728368","2.3827658"
"574.9998","1933.0294","1219.4402","-73.71693","-12.243469","-3.5612183","-1.4731536","-0.24467166","-0.07116686","0","0","0","0.7539499","0","0","0","0","0","0","-1.4731536","-0.24467166","-0.07116686","2.42609"
"599.9998","1901.8851","1180.4623","-82.2952","-13.098527","-3.8099287","-1.6229799","-0.25832438","-0.07513798","0","0","0","0.79306656","-0.00048828125","-7.771811E-05","-2.2605618E-05","0","0","0","-1.6229799","-0.25832438","-0.07513798","2.4685125"
"624.99976","1870.961","1142.3865","-91.450745","-13.973646","-4.064475","-1.7819546","-0.27228275","-0.07919801","0","0","0","0.8328265","-0.00048828125","-7.46094E-05","-2.1701397E-05","0","0","0","-1.7819546","-0.27228275","-0.07919801","2.5124848"
"649.99976","1840.2659","1105.2097","-101.20054","-14.868591","-4.324768","-1.9503562","-0.2865524","-0.08334858","0","0","0","0.87324655","0","0","0","0","0","0","-1.9503562","-0.2865524","-0.08334858","2.5580568"
"674.99976","1809.8058","1068.9255","-111.56773","-15.784851","-4.591278","-2.128469","-0.30113906","-0.08759135","0","0","0","0.9143434","0","0","0","0","0","0","-2.128469","-0.30113906","-0.08759135","2.605285"
"699.99976","1779.5897","1033.5306","-122.57495","-16.722717","-4.8640747","-2.316615","-0.3160526","-0.0919292","0","0","0","0.9561362","0","0","0","0","0","0","-2.316615","-0.3160526","-0.0919292","2.6542196"
"724.9997","1749.6237","999.0169","-134.24295","-17.68317","-5.143451","-2.515096","-0.33129898","-0.09636387","0","0","0","0.99864167","-0.00048828125","-6.4318454E-05","-1.8708102E-05","0","0","0","-2.515096","-0.33129898","-0.09636387","2.7049203"
"749.9997","1719.915","965.37836","-146.59103","-18.666016","-5.4293213","-2.7242465","-0.34688753","-0.100898065","0","0","0","1.0418783","0","0","0","0","0","0","-2.7242465","-0.34688753","-0.100898065","2.7574449"
"774.9997","1690.4694","932.60596","-159.64565","-19.672485","-5.7220764","-2.9444048","-0.3628268","-0.10553426","0","0","0","1.0858647","0","0","0","0","0","0","-2.9444048","-0.3628268","-0.10553426","2.8118577"
"799.9997","1661.2921","900.69037","-173.42943","-20.703125","-6.0218506","-3.1759481","-0.37912896","-0.11027602","0","0","0","1.1306208","0","0","0","0","0","0","-3.1759481","-0.37912896","-0.11027602","2.864497"
"824.9996","1632.3809","869.614","-187.97115","-21.759155","-6.32901","-3.4192412","-0.39580327","-0.11512603","0","0","0","1.1761672","0","0","0","0","0","0","-3.4192412","-0.39580327","-0.11512603","2.9164052"
"849.99963","1603.6743","839.2974","-203.29532","-22.840942","-6.6436768","-3.67464","-0.4128568","-0.12008633","0","0","0","1.2225245","0","0","0","0","0","0","-3.67464","-0.4128568","-0.12008633","2.9615788"
"874.9996","1575.2352","809.7937","-219.4298","-23.949326","-6.966065","-3.9425068","-0.43029663","-0.125159","0","0","0","1.2697145","-0.0009765625","-0.00010658488","-3.1002E-05","0","0","0","-3.9425068","-0.43029663","-0.125159","3.0193684"
"899.9996","1547.0984","781.1229","-236.40373","-25.085205","-7.2964478","-4.2232904","-0.44813827","-0.13034853","0","0","0","1.3177617","0","0","0","0","0","0","-4.2232904","-0.44813827","-0.13034853","3.0793169"
"924.9996","1519.2684","753.2733","-254.25073","-26.249817","-7.635193","-4.5173683","-0.46638793","-0.13565676","0","0","0","1.3666854","0","0","0","0","0","0","-4.5173683","-0.46638793","-0.13565676","3.1414943"
"949.9996","1491.7151","726.1984","-272.99954","-27.443884","-7.9825115","-4.8251996","-0.48505974","-0.14108777","0","0","0","1.416509","-0.0009765625","-9.8170276E-05","-2.8554472E-05","0","0","0","-4.8251996","-0.48505974","-0.14108777","3.2236664"
"974.99963","1464.3407","699.79004","-292.68213","-28.66809","-8.338593","-5.1472726","-0.5041689","-0.146646","0","0","0","1.4672592","0","0","0","0","0","0","-5.1472726","-0.5041689","-0.146646","3.3174975"
"999.9996","1437.1495","674.04285","-313.33917","-29.924194","-8.703949","-5.4840965","-0.52373147","-0.15233609","0","0","0","1.5189639","0","0","0","0","0","0","-5.4840965","-0.52373147","-0.15233609","3.4152796"
"1024.9995","1410.1538","648.95795","-335.0065","-31.213226","-9.078884","-5.8362393","-0.54376686","-0.15816373","0","0","0","1.5716538","-0.0009765625","-9.098709E-05","-2.646512E-05","0","0","0","-5.8362393","-0.54376686","-0.15816373","3.517187"
"1049.9995","1383.3645","624.5351","-357.71323","-32.535313","-9.463445","-6.204253","-0.5642918","-0.16413374","0","0","0","1.6253583","0.0009765625","8.882072E-05","2.5834997E-05","0","0","0","-6.204253","-0.5642918","-0.16413374","3.623398"
