Range,Velocity,Energy,ComeUp,ComeUpMOA,ComeUpMrads,SpinDrift,SpinDriftMOA,SpinDriftMrads,WindDrift,WindDriftMOA,WindDriftMrads,TimeOfFlight,VerticalWindJump,VerticalWindJumpMOA,VerticalWindJumpMrads,TotalComeUp,TotalComeUpMOA,TotalComeUpMrads,TotalWindDrift,TotalWindDriftMOA,TotalWindDriftMrads,Gyro
"0","2599.9998","3301.6838","-1.5009995","0","0","0","0","0","0","0","0","0","-0.0009994507","0","0","0","0","0","0","0","0","3.0595663"
"25","2564.676","3212.58","-0.56703496","-2.1660738","-0.6300389","-0.0034477802","-0.01317052","-0.0038308667","0.017499609","0.0668485","0.01944401","0.029045023","0.053673506","0.2050328","0.05963723","0","0","0","0.0140518285","0.053677984","0.015613142","3.1184952"
"50","2529.5747","3125.2441","0.035559624","0.06791888","0.019755349","-0.013905917","-0.026560303","-0.00772551","0.07028195","0.13423853","0.039045528","0.058490988","0.10733697","0.2050136","0.05963165","0","0","0","0.056376036","0.10767822","0.031320017","3.179071"
"75","2494.6887","3039.6362","0.2993274","0.38114357","0.110862","-0.03162128","-0.04026443","-0.011711586","0.15913308","0.20262946","0.05893818","0.08834685","0.16100267","0.20501006","0.059630617","0","0","0","0.1275118","0.16236503","0.047226593","3.2393734"
"100","2459.9592","2955.5935","0.21467997","0.20501937","0.059633326","-0.056829676","-0.054272342","-0.015786022","0.28488052","0.27206087","0.07913347","0.11862198","0.21467997","0.20501937","0.059633326","0","0","0","0.22805084","0.21778853","0.06334745","3.299498"
"125","2425.3833","2873.093","-0.22817183","-0.17432329","-0.050704855","-0.08975479","-0.068572655","-0.019945508","0.4483947","0.34257355","0.09964327","0.14932628","0.268353","0.20502168","0.059633996","0","0","0","0.3586399","0.27400088","0.07969776","3.3615386"
"150","2390.97","2792.1396","-1.0400481","-0.66216403","-0.19260152","-0.13064419","-0.0831768","-0.024193369","0.65064144","0.4142417","0.12048915","0.18047073","0.32202768","0.20502429","0.059634756","0","0","0","0.51999724","0.3310649","0.09629578","3.4255614"
"175","2356.728","2712.7378","-2.232321","-1.2182095","-0.35433668","-0.17975841","-0.098096736","-0.028533082","0.89261943","0.48711514","0.14168562","0.21206665","0.37569213","0.20502056","0.059633672","0","0","0","0.712861","0.38901842","0.113152534","3.4916294"
"200.00002","2322.6646","2634.8862","-3.8139248","-1.821149","-0.5297118","-0.23730844","-0.11331477","-0.032959502","1.1750588","0.5610906","0.16320261","0.24412237","0.42936134","0.20502003","0.059633516","0","0","0","0.9377504","0.4477758","0.13024311","3.5598156"
"224.99998","2288.788","2558.5864","-5.798471","-2.461129","-0.7158607","-0.3036077","-0.1288646","-0.037482433","1.4991497","0.63630575","0.18508022","0.27665135","0.48302317","0.20501651","0.059632495","0","0","0","1.195542","0.50744116","0.14759779","3.6301901"
"250","2255.107","2483.8374","-8.195953","-3.1308546","-0.9106617","-0.3788942","-0.14473759","-0.042099357","1.8656893","0.7126933","0.2072988","0.30966273","0.5366974","0.2050184","0.059633043","0","0","0","1.4867951","0.5679557","0.16519944","3.70283"
"275","2221.6255","2410.6304","-11.021563","-3.827489","-1.1132895","-0.46352014","-0.1609679","-0.046820216","2.2759776","0.79038495","0.22989672","0.3431712","0.59036446","0.20501748","0.059632774","0","0","0","1.8124574","0.62941706","0.1830765","3.7787712"
"300","2188.3052","2338.8625","-14.285892","-4.547677","-1.3227682","-0.5577349","-0.1775456","-0.05164212","2.7308576","0.86932296","0.25285718","0.3771864","0.6440325","0.205017","0.059632637","0","0","0","2.1731226","0.69177735","0.20121506","3.8592544"
"324.99997","2155.142","2268.5098","-18.003014","-5.2901187","-1.5387199","-0.66185486","-0.19448352","-0.056568794","3.2315474","0.9495778","0.27620065","0.4117221","0.6976967","0.2050155","0.059632197","0","0","0","2.5696926","0.7550943","0.21963185","3.9425776"
"350","2122.1448","2199.5757","-22.187252","-6.0539536","-1.7608941","-0.7762027","-0.21179244","-0.061603386","3.7792666","1.0311998","0.29994178","0.4467922","0.7513504","0.20501132","0.059630983","0","0","0","3.003064","0.81940734","0.2383384","4.0288477"
