Range,Velocity,Energy,ComeUp,ComeUpMOA,ComeUpMrads,SpinDrift,SpinDriftMOA,SpinDriftMrads,WindDrift,WindDriftMOA,WindDriftMrads,TimeOfFlight,VerticalWindJump,VerticalWindJumpMOA,VerticalWindJumpMrads,TotalComeUp,TotalComeUpMOA,TotalComeUpMrads,TotalWindDrift,TotalWindDriftMOA,TotalWindDriftMrads,Gyro
"0","2700.0002","2379.0916","-2.001109","0","0","0","0","0","0","0","0","0","-0.0011088848","0","0","0","0","0","0","0","0","1.5914327"
"25.000002","2664.939","2317.7046","-1.0334514","-3.9477851","-1.1482795","-0.0022731624","-0.008683479","-0.0025257356","0","0","0","0.027961187","-3.5762787E-07","-1.3661385E-06","-3.973643E-07","0","0","0","-0.0022731624","-0.008683479","-0.0025257356","1.6203023"
"50","2629.9622","2257.2646","-0.37223533","-0.7109695","-0.2067974","-0.009134963","-0.01744778","-0.0050749797","0","0","0","0.05629053","-9.834766E-07","-1.8784402E-06","-5.463759E-07","0","0","0","-0.009134963","-0.01744778","-0.0050749797","1.6500783"
"75","2595.079","2197.7827","-0.02414421","-0.030743625","-0.0089422995","-0.02074903","-0.026420433","-0.0076848264","0","0","0","0.084997855","-9.909272E-07","-1.2617808E-06","-3.670101E-07","0","0","0","-0.02074903","-0.026420433","-0.0076848264","1.6807919"
"100","2560.3008","2139.2698","0","0","0","-0.037310716","-0.03563173","-0.010364087","0","0","0","0.11409507","0","0","0","0","0","0","-0.037310716","-0.03563173","-0.010364087","1.7124716"
"125","2525.6355","2081.7324","-0.3065161","-0.23417829","-0.06811469","-0.058955655","-0.04504212","-0.013101256","0","0","0","0.14358906","-1.3709068E-06","-1.0473728E-06","-3.0464597E-07","0","0","0","-0.058955655","-0.04504212","-0.013101256","1.7451522"
"150","2491.0972","2025.186","-0.9530696","-0.6067876","-0.17649437","-0.08586137","-0.054665074","-0.015900254","0","0","0","0.17348969","1.9669533E-06","1.2522936E-06","3.642506E-07","0","0","0","-0.08586137","-0.054665074","-0.015900254","1.7765131"
"175","2456.7131","1969.6654","-1.9492096","-1.0637115","-0.30939835","-0.118195206","-0.06450081","-0.018761143","0","0","0","0.20380661","1.5497208E-06","8.4570473E-07","2.4598742E-07","0","0","0","-0.118195206","-0.06450081","-0.018761143","1.8072915"
"200","2422.4934","1915.1761","-3.304626","-1.5779591","-0.45897588","-0.1561169","-0.07454582","-0.021682903","0","0","0","0.2345495","4.7683716E-07","2.2768975E-07","6.6227386E-08","0","0","0","-0.1561169","-0.07454582","-0.021682903","1.8390266"
"225.00002","2388.4458","1861.7201","-5.030571","-2.1351979","-0.62105817","-0.19981137","-0.08480882","-0.024668068","0","0","0","0.26572943","0","0","0","0","0","0","-0.19981137","-0.08480882","-0.024668068","1.8717506"
"250","2354.5786","1809.2974","-7.137375","-2.7264774","-0.7930417","-0.2494505","-0.09529009","-0.027716722","0","0","0","0.29735634","0","0","0","0","0","0","-0.2494505","-0.09529009","-0.027716722","1.9054939"
"275","2320.898","1757.9059","-9.634328","-3.3457398","-0.9731646","-0.30519146","-0.10598467","-0.030827422","0","0","0","0.32943863","-9.536743E-07","-3.311851E-07","-9.6330744E-08","0","0","0","-0.30519146","-0.10598467","-0.030827422","1.9402903"
"300","2287.413","1707.5474","-12.535599","-3.9904995","-1.1607038","-0.3672691","-0.116914","-0.0340064","0","0","0","0.36199018","0","0","0","0","0","0","-0.3672691","-0.116914","-0.0340064","1.9761713"
"324.99997","2254.1294","1658.2167","-15.849848","-4.6574187","-1.3546884","-0.43583396","-0.12806813","-0.03725077","0","0","0","0.3950183","1.9073486E-06","5.6046713E-07","1.6302127E-07","0","0","0","-0.43583396","-0.12806813","-0.03725077","2.0131774"
"349.99997","2221.0525","1609.9084","-19.593355","-5.346189","-1.5550288","-0.5111573","-0.13947292","-0.04056804","0","0","0","0.4285386","-1.9073486E-06","-5.2043373E-07","-1.5137688E-07","0","0","0","-0.5111573","-0.13947292","-0.04056804","2.051735"
"374.99994","2188.155","1562.5709","-23.776028","-6.0549655","-1.7611884","-0.59340876","-0.15112144","-0.04395621","0","0","0","0.46255955","0","0","0","0","0","0","-0.59340876","-0.15112144","-0.04395621","2.092284"
"399.99994","2155.436","1516.1906","-28.411718","-6.7833023","-1.9730374","-0.68281555","-0.16302224","-0.047417752","0","0","0","0.49709415","0","0","0","0","0","0","-0.68281555","-0.16302224","-0.047417752","2.134203"
