Range,Velocity,Energy,ComeUp,ComeUpMOA,ComeUpMrads,SpinDrift,SpinDriftMOA,SpinDriftMrads,WindDrift,WindDriftMOA,WindDriftMrads,TimeOfFlight,VerticalWindJump,VerticalWindJumpMOA,VerticalWindJumpMrads,TotalComeUp,TotalComeUpMOA,TotalComeUpMrads,TotalWindDrift,TotalWindDriftMOA,TotalWindDriftMrads,Gyro
"0","2790","3801.8708","-1.5009478","0","0","0","0","0","0","0","0","0","-0.00094783306","0","0","0","0","0","0","0","0","2.5834286"
"25","2753.8926","3704.1018","-0.68852186","-2.6301534","-0.7650243","-0.003126887","-0.011944708","-0.003474319","0","0","0","0.027058827","4.7683716E-07","1.821518E-06","5.298191E-07","0","0","0","-0.003126887","-0.011944708","-0.003474319","2.6307473"
"50","2718.0132","3608.2114","-0.16224088","-0.30988008","-0.090133816","-0.012546068","-0.02396299","-0.0069700377","0","0","0","0.05447128","-1.8030405E-06","-3.4438074E-06","-1.0016892E-06","0","0","0","-0.012546068","-0.02396299","-0.0069700377","2.6793437"
"75.00001","2682.3691","3514.196","0.06887779","0.08770438","0.02551029","-0.028535092","-0.036334682","-0.010568552","0","0","0","0.08224862","-3.874302E-07","-4.933277E-07","-1.4349264E-07","0","0","0","-0.028535092","-0.036334682","-0.010568552","2.7292457"
"100.00001","2646.9624","3422.0352","0","0","0","-0.051238477","-0.048932742","-0.014232909","0","0","0","0.110394344","0","0","0","0","0","0","-0.051238477","-0.048932742","-0.014232909","2.7805004"
"125","2611.8008","3331.7236","-0.37989572","-0.2902403","-0.08442127","-0.08094196","-0.06183966","-0.017987102","0","0","0","0.13891937","-1.4603138E-06","-1.1156797E-06","-3.2451416E-07","0","0","0","-0.08094196","-0.06183966","-0.017987102","2.8331366"
"150","2576.8857","3243.241","-1.077774","-0.6861828","-0.19958778","-0.1178441","-0.075027406","-0.021822982","0","0","0","0.16782956","0","0","0","0","0","0","-0.1178441","-0.075027406","-0.021822982","2.8872004"
"175","2542.2224","3156.5742","-2.1020494","-1.1471183","-0.33365864","-0.16217834","-0.08850303","-0.025742592","0","0","0","0.19713226","-2.3841858E-06","-1.3010842E-06","-3.784422E-07","0","0","0","-0.16217834","-0.08850303","-0.025742592","2.9427333"
"200.00002","2507.8147","3071.7068","-3.4619792","-1.653095","-0.48083043","-0.21420157","-0.102281235","-0.029750215","0","0","0","0.22683568","-2.3841858E-07","-1.1384486E-07","-3.311369E-08","0","0","0","-0.21420157","-0.102281235","-0.029750215","2.999075"
"225.00002","2473.632","2988.5405","-5.1669936","-2.193102","-0.6379005","-0.27416816","-0.116369136","-0.033847917","0","0","0","0.25694817","-1.4305115E-06","-6.071726E-07","-1.7660633E-07","0","0","0","-0.27416816","-0.116369136","-0.033847917","3.0518842"
