Range,Velocity,Energy,ComeUp,ComeUpMOA,ComeUpMrads,SpinDrift,SpinDriftMOA,SpinDriftMrads,WindDrift,WindDriftMOA,WindDriftMrads,TimeOfFlight,VerticalWindJump,VerticalWindJumpMOA,VerticalWindJumpMrads,TotalComeUp,TotalComeUpMOA,TotalComeUpMrads,TotalWindDrift,TotalWindDriftMOA,TotalWindDriftMrads,Gyro
"0","2600","3301.6846","-1.5010418","0","0","0","0","0","0","0","0","0","-0.00104177","0","0","0","0","0","0","0","0","3.059589"
"25","2563.907","3210.6533","-2.035095","-7.77417","-2.2612305","-0.0017212783","-0.006575283","-0.0019125314","0","0","0","0.029049437","0","0","0","0","0","0","-0.0017212783","-0.006575283","-0.0019125314","3.12621"
"50","2528.097","3121.5938","-1.2434691","-2.3752441","-0.69091797","-0.006945997","-0.013266855","-0.0038588874","0","0","0","0.058508478","0","0","0","0","0","0","-0.006945997","-0.013266855","-0.0038588874","3.19476"
"75","2492.5627","3034.458","-0.6188964","-0.78790855","-0.2292164","-0.015802875","-0.020122327","-0.0058529167","0","0","0","0.08838583","-0.00024414062","-0.0003108724","-9.042245E-05","0","0","0","-0.015802875","-0.020122327","-0.0058529167","3.2632613"
"100","2457.2449","2949.075","-0.16784666","-0.16014527","-0.046576604","-0.028415145","-0.027136464","-0.007893096","0","0","0","0.118690625","-0.00024414062","-0.00023315431","-6.781684E-05","0","0","0","-0.028415145","-0.027136464","-0.007893096","3.3319037"
"125","2422.1396","2865.4136","0.10510253","0.0798916","0.023261176","-0.044900257","-0.034303796","-0.009977835","0","0","0","0.14943242","-0.00024414062","-0.00018652344","-5.4253473E-05","0","0","0","-0.044900257","-0.034303796","-0.009977835","3.4027574"
"150","2387.2546","2783.4688","0.19189452","0.12224772","0.035554107","-0.06539103","-0.041632287","-0.012109449","0","0","0","0.1806222","-0.00048828125","-0.0003108724","-9.042245E-05","0","0","0","-0.06539103","-0.041632287","-0.012109449","3.4758432"
"175","2352.597","2703.2358","0.08813476","0.0475851","0.013838511","-0.09001867","-0.049124476","-0.014288678","0","0","0","0.21227041","-0.00048828125","-0.00026646204","-7.7504956E-05","0","0","0","-0.09001867","-0.049124476","-0.014288678","3.5512958"
"200.00002","2318.1724","2624.704","-0.20947264","-0.099853516","-0.029052734","-0.11889708","-0.05677335","-0.016513482","0","0","0","0.2443851","0","0","0","0","0","0","-0.11889708","-0.05677335","-0.016513482","3.6292017"
"225","2283.9888","2547.8677","-0.7106933","-0.30147678","-0.08770677","-0.15219663","-0.064599015","-0.018789707","0","0","0","0.27698013","-0.00048828125","-0.00020724826","-6.0281636E-05","0","0","0","-0.15219663","-0.064599015","-0.018789707","3.7096426"
"249.99998","2250.0518","2472.714","-1.4177245","-0.54125977","-0.1574707","-0.19003208","-0.07259226","-0.021114677","0","0","0","0.3100629","0","0","0","0","0","0","-0.19003208","-0.07259226","-0.021114677","3.7927115"
"275","2216.3652","2399.2283","-2.3413084","-0.8132324","-0.23657227","-0.23259874","-0.0807752","-0.023494823","0","0","0","0.34364882","0","0","0","0","0","0","-0.23259874","-0.0807752","-0.023494823","3.879408"
"300","2182.8892","2327.2996","-3.4858396","-1.1101074","-0.32287598","-0.28002608","-0.08914164","-0.02592834","0","0","0","0.3777468","0","0","0","0","0","0","-0.28002608","-0.08914164","-0.02592834","3.9710944"
"324.99994","2149.6194","2256.8987","-4.8588862","-1.4277344","-0.4152832","-0.33247918","-0.09769774","-0.028417028","0","0","0","0.41236973","0","0","0","0","0","0","-0.33247918","-0.09769774","-0.028417028","4.066041"
"349.99997","2116.563","2188.0203","-6.4653316","-1.764382","-0.5132282","-0.39012814","-0.10644926","-0.030962555","0","0","0","0.44753096","0.0009765625","0.00026646207","7.750496E-05","0","0","0","-0.39012814","-0.10644926","-0.030962555","4.1643753"
"374.99994","2083.7283","2120.6602","-8.316405","-2.1179154","-0.6160165","-0.45314732","-0.115401536","-0.033566475","0","0","0","0.48324373","0.0009765625","0.00024869796","7.233798E-05","0","0","0","-0.45314732","-0.115401536","-0.033566475","4.2662277"
"399.9999","2051.122","2054.8113","-10.418456","-2.4875598","-0.723565","-0.52171516","-0.12455953","-0.03623023","0","0","0","0.5195211","0.0009765625","0.00023315435","6.781686E-05","0","0","0","-0.52171516","-0.12455953","-0.03623023","4.3715897"
