Range,Velocity,Energy,ComeUp,ComeUpMOA,ComeUpMrads,SpinDrift,SpinDriftMOA,SpinDriftMrads,WindDrift,WindDriftMOA,WindDriftMrads,TimeOfFlight,VerticalWindJump,VerticalWindJumpMOA,VerticalWindJumpMrads,TotalComeUp,TotalComeUpMOA,TotalComeUpMrads,TotalWindDrift,TotalWindDriftMOA,TotalWindDriftMrads,Gyro
"0","2790","1296.0922","-1.539001","0","0","0","0","0","0","0","0","0","-0.039000988","0","0","0","0","0","0","0","0","1.7415705"
"50","2657.1013","1175.557","-0.08536848","-0.1630538","-0.04742693","-0.010553274","-0.020156754","-0.0058629303","0","0","0","0.055093024","0.0005690232","0.0010868344","0.000316124","0","0","0","-0.010553274","-0.020156754","-0.0058629303","1.8691843"
"100.00001","2528.2507","1064.3092","0","0","0","-0.044016413","-0.042035673","-0.012226781","0","0","0","0.11297026","0","0","0","0","0","0","-0.044016413","-0.042035673","-0.012226781","2.0097992"
"150","2402.7788","961.2913","-1.2167969","-0.774694","-0.22533275","-0.10327552","-0.06575208","-0.019125096","0","0","0","0.17382675","0.001953125","0.0012434896","0.0003616898","0","0","0","-0.10327552","-0.06575208","-0.019125096","2.1476846"
"200","2279.7246","865.35095","-3.9617987","-1.8917587","-0.5502498","-0.19135746","-0.09137318","-0.026577424","0","0","0","0.23791642","-0.0008611679","-0.00041120767","-0.00011960665","0","0","0","-0.19135746","-0.09137318","-0.026577424","2.3004344"
"250","2159.416","776.4261","-8.384105","-3.2027283","-0.9315673","-0.3115623","-0.119016804","-0.034618035","0","0","0","0.30551958","-0.0012922287","-0.00049363135","-0.00014358097","0","0","0","-0.3115623","-0.119016804","-0.034618035","2.4703865"
"300.00003","2042.1581","694.39435","-14.65445","-4.6650014","-1.3568939","-0.46769756","-0.14888372","-0.043305326","0","0","0","0.37695068","0.0017995834","0.00057286734","0.00016662809","0","0","0","-0.46769756","-0.14888372","-0.043305326","2.661139"
"349.99997","1928.2094","619.0644","-23.010904","-6.2786937","-1.8262634","-0.6640235","-0.18118358","-0.052700285","0","0","0","0.45254225","0.004720688","0.0012880735","0.0003746578","0","0","0","-0.6640235","-0.18118358","-0.052700285","2.868018"
"400","1817.242","549.8611","-33.69754","-8.045296","-2.340109","-0.90531456","-0.21614386","-0.06286907","0","0","0","0.5326736","0.005584717","0.0013333511","0.00038782755","0","0","0","-0.90531456","-0.21614386","-0.06286907","3.0708935"
"449.99997","1709.3306","486.4964","-47.0378","-9.982482","-2.9035723","-1.1965652","-0.25393775","-0.07386205","0","0","0","0.6177827","0.0012626648","0.00026796554","7.794228E-05","0","0","0","-1.1965652","-0.25393775","-0.07386205","3.3045573"
"500","1604.6404","428.7291","-63.35753","-12.101313","-3.51987","-1.5435429","-0.2948167","-0.08575238","0","0","0","0.70835376","0.0018463135","0.00035264585","0.000102572965","0","0","0","-1.5435429","-0.2948167","-0.08575238","3.52265"
"550","1503.0128","376.14288","-83.04749","-14.420107","-4.1943297","-1.9521304","-0.33896083","-0.098592445","0","0","0","0.8049414","-0.00061798096","-0.00010730396","-3.121116E-05","0","0","0","-1.9521304","-0.33896083","-0.098592445","3.761517"
"600.00006","1403.963","328.2002","-106.56459","-16.9616","-4.933565","-2.4291925","-0.38664645","-0.11246261","0","0","0","0.90819985","0.005722046","0.0009107589","0.00026490953","0","0","0","-2.4291925","-0.38664645","-0.11246261","4.2211566"
"649.99994","1307.2692","284.5493","-134.51361","-19.763264","-5.7484765","-2.9841661","-0.4384429","-0.12752847","0","0","0","1.0189198","0.0020141602","0.0002959266","8.6075226E-05","0","0","0","-2.9841661","-0.4384429","-0.12752847","4.7943015"
"699.99994","1213.0177","244.99754","-167.56187","-22.860395","-6.64933","-3.628568","-0.49504042","-0.14399081","0","0","0","1.1380408","0.00062561035","8.535113E-05","2.482581E-05","0","0","0","-3.628568","-0.49504042","-0.14399081","5.513061"
"749.9999","1123.6654","210.23328","-206.4933","-26.29374","-7.647976","-4.374658","-0.55703986","-0.1620244","0","0","0","1.2665747","-0.0011138916","-0.00014183555","-4.125525E-05","0","0","0","-4.374658","-0.55703986","-0.1620244","5.8426213"
"799.9999","1052.5885","184.47807","-252.29268","-30.117828","-8.760276","-5.2344337","-0.6248606","-0.18175119","0","0","0","1.4047829","0.004196167","0.0005009175","0.00014570027","0","0","0","-5.2344337","-0.6248606","-0.18175119","6.2512965"
"849.99976","996.1441","165.22351","-305.91824","-34.3714","-9.9974985","-6.225124","-0.6994111","-0.20343547","0","0","0","1.5512453","0.0036315918","0.00040802013","0.000118679505","0","0","0","-6.225124","-0.6994111","-0.20343547","7.333889"
"899.9998","945.66394","148.90222","-368.26337","-39.077682","-11.3664","-7.3632984","-0.7813279","-0.22726233","0","0","0","1.7058773","0.0022583008","0.00023963084","6.9700654E-05","0","0","0","-7.3632984","-0.7813279","-0.22726233","8.271172"
"949.99976","903.0562","135.78664","-440.28275","-44.261234","-12.874124","-8.671914","-0.8717558","-0.2535648","0","0","0","1.8684279","-0.0014953613","-0.0001503232","-4.3724027E-05","0","0","0","-8.671914","-0.8717558","-0.2535648","8.912581"
"999.99976","870.3378","126.12557","-522.9154","-49.94019","-14.525942","-10.18138","-0.972322","-0.28281617","0","0","0","2.0378122","-0.0013427734","-0.00012823488","-3.729927E-05","0","0","0","-10.18138","-0.972322","-0.28281617","9.4397955"
"1049.9998","843.1381","118.36545","-616.9453","-56.115143","-16.322031","-11.91891","-1.0840535","-0.31531516","0","0","0","2.2131062","0","0","0","0","0","0","-11.91891","-1.0840535","-0.31531516","9.887932"
"1099.9996","819.5466","111.83424","-723.1624","-62.78716","-18.2627","-13.908004","-1.2074678","-0.3512123","0","0","0","2.393748","0.0016479492","0.000143072","4.1614894E-05","0","0","0","-13.908004","-1.2074678","-0.3512123","10.178974"
"1149.9996","798.04095","106.042","-842.2713","-69.94999","-20.346128","-16.17009","-1.3428208","-0.39058197","0","0","0","2.579462","0.0021362305","0.00017740006","5.1599785E-05","0","0","0","-16.17009","-1.3428208","-0.39058197","10.410486"
"1199.9998","778.46014","100.902115","-974.97656","-77.59849","-22.570822","-18.725964","-1.4902748","-0.43347144","0","0","0","2.7700624","0","0","0","0","0","0","-18.725964","-1.4902748","-0.43347144","10.607919"
"1249.9995","759.844","96.13386","-1121.9731","-85.72766","-24.935328","-21.595354","-1.6498854","-0.47989687","0","0","0","2.9654307","0.0034179688","0.0002611329","7.5954886E-05","0","0","0","-21.595354","-1.6498854","-0.47989687","10.790406"
"1299.9995","741.76587","91.61386","-1283.9752","-94.334656","-27.438818","-24.796547","-1.8215929","-0.5298409","0","0","0","3.1656468","0.0013427734","9.864223E-05","2.869175E-05","0","0","0","-24.796547","-1.8215929","-0.5298409","10.972505"
"1349.9994","724.23145","87.33378","-1461.7115","-103.418205","-30.080921","-28.348341","-2.0053835","-0.58329946","0","0","0","3.3708098","-0.00061035156","-4.3176744E-05","-1.255868E-05","0","0","0","-28.348341","-2.0053835","-0.58329946","11.153348"
"1399.9994","707.2325","83.28214","-1655.9564","-112.98027","-32.86221","-32.270504","-2.2013102","-0.640288","0","0","0","3.5810223","0.0045166016","0.00030809687","8.961515E-05","0","0","0","-32.270504","-2.2013102","-0.640288","11.3323965"
"1449.9994","690.75775","79.44728","-1867.5369","-123.02615","-35.78422","-36.583645","-2.409475","-0.7008363","0","0","0","3.7963853","0.0021972656","0.00014471653","4.209323E-05","0","0","0","-36.583645","-2.409475","-0.7008363","11.509182"
"1499.9999","674.797","75.818245","-2097.2395","-133.55785","-38.84754","-41.30918","-2.6300175","-0.7649847","0","0","0","4.016999","0.0026855469","0.00017097982","4.9732353E-05","0","0","0","-41.30918","-2.6300175","-0.7649847","11.683194"
