Range,Velocity,Energy,ComeUp,ComeUpMOA,ComeUpMrads,SpinDrift,SpinDriftMOA,SpinDriftMrads,WindDrift,WindDriftMOA,WindDriftMrads,TimeOfFlight,VerticalWindJump,VerticalWindJumpMOA,VerticalWindJumpMrads,TotalComeUp,TotalComeUpMOA,TotalComeUpMrads,TotalWindDrift,TotalWindDriftMOA,TotalWindDriftMrads,Gyro
"0","2600","3301.6846","-2.0011654","0","0","0","0","0","0","0","0","0","-0.0011652708","0","0","0","0","0","0","0","0","3.0595841"
"25","2564.678","3212.585","-0.99557984","-3.8031156","-1.1062","-0.003447778","-0.013170512","-0.0038308646","0","0","0","0.029045003","2.7418137E-06","1.0473728E-05","3.0464596E-06","0","0","0","-0.003447778","-0.013170512","-0.0038308646","3.1185102"
"50","2529.577","3125.2495","-0.3217013","-0.6144495","-0.17872295","-0.013905918","-0.026560303","-0.00772551","0","0","0","0.058490958","-2.3841858E-07","-4.553795E-07","-1.3245477E-07","0","0","0","-0.013905918","-0.026560303","-0.00772551","3.1790867"
"75","2494.6907","3039.641","0.0133669395","0.01702057","0.0049507185","-0.03162128","-0.04026443","-0.011711586","0","0","0","0.088346794","2.4028122E-07","3.0595808E-07","8.899305E-08","0","0","0","-0.03162128","-0.04026443","-0.011711586","3.2393906"
"100","2459.9614","2955.5989","0","0","0","-0.056829683","-0.05427235","-0.015786024","0","0","0","0.118621886","0","0","0","0","0","0","-0.056829683","-0.05427235","-0.015786024","3.2995164"
"125","2425.3853","2873.098","-0.37156957","-0.28387913","-0.082571015","-0.08975481","-0.06857268","-0.019945513","0","0","0","0.14932616","1.013279E-06","7.741451E-07","2.251731E-07","0","0","0","-0.08975481","-0.06857268","-0.019945513","3.3615587"
"150","2390.972","2792.1445","-1.1121713","-0.7080824","-0.20595764","-0.13064422","-0.08317682","-0.024193374","0","0","0","0.18047057","-1.1920929E-07","-7.589658E-08","-2.2075794E-08","0","0","0","-0.13064422","-0.08317682","-0.024193374","3.425583"
"175","2356.7295","2712.7417","-2.2331438","-1.2186583","-0.35446724","-0.17975849","-0.09809677","-0.028533094","0","0","0","0.21206644","-9.536743E-07","-5.204337E-07","-1.5137687E-07","0","0","0","-0.17975849","-0.09809677","-0.028533094","3.4916537"
"200","2322.6658","2634.8892","-3.7434547","-1.7874997","-0.5199243","-0.23730852","-0.113314815","-0.032959517","0","0","0","0.2441221","-7.1525574E-07","-3.4153462E-07","-9.934108E-08","0","0","0","-0.23730852","-0.113314815","-0.032959517","3.5598423"
"225.00002","2288.7898","2558.59","-5.6566987","-2.4009542","-0.6983579","-0.30360794","-0.12886469","-0.03748246","0","0","0","0.2766511","1.4305115E-06","6.071726E-07","1.7660633E-07","0","0","0","-0.30360794","-0.12886469","-0.03748246","3.630218"
"249.99998","2255.1084","2483.8408","-7.9828897","-3.0494647","-0.8869879","-0.3788944","-0.14473768","-0.042099383","0","0","0","0.3096624","1.4305115E-06","5.4645545E-07","1.5894574E-07","0","0","0","-0.3788944","-0.14473768","-0.042099383","3.7028587"
"275","2221.6267","2410.6328","-10.737199","-3.7287374","-1.0845659","-0.46352056","-0.16096805","-0.04682026","0","0","0","0.34317088","2.861023E-06","9.935553E-07","2.8899223E-07","0","0","0","-0.46352056","-0.16096805","-0.04682026","3.778804"
"300.00003","2188.3064","2338.865","-13.930248","-4.434463","-1.289838","-0.55773574","-0.17754586","-0.051642194","0","0","0","0.3771861","0","0","0","0","0","0","-0.55773574","-0.17754586","-0.051642194","3.8592896"
"325.00003","2155.143","2268.5125","-17.576073","-5.164663","-1.5022289","-0.6618559","-0.19448379","-0.056568876","0","0","0","0.41172177","0","0","0","0","0","0","-0.6618559","-0.19448379","-0.056568876","3.9426143"
"350","2122.1467","2199.5798","-21.688995","-5.918","-1.7213497","-0.77620405","-0.21179281","-0.061603494","0","0","0","0.4467918","0","0","0","0","0","0","-0.77620405","-0.21179281","-0.061603494","4.028885"
"374.99994","2089.3264","2132.07","-26.283598","-6.6935616","-1.9469347","-0.90111077","-0.22948293","-0.06674896","0","0","0","0.48241007","1.9073486E-06","4.857382E-07","1.4128511E-07","0","0","0","-0.90111077","-0.22948293","-0.06674896","4.118211"
"399.99994","2056.6917","2065.9856","-31.374716","-7.49072","-2.1788015","-1.0369138","-0.24756318","-0.07200791","0","0","0","0.51859033","1.9073486E-06","4.5537956E-07","1.3245479E-07","0","0","0","-1.0369138","-0.24756318","-0.07200791","4.210709"
"424.99994","2024.251","2001.3251","-36.978115","-8.309209","-2.416873","-1.1839741","-0.266046","-0.07738394","0","0","0","0.55534714","0","0","0","0","0","0","-1.1839741","-0.266046","-0.07738394","4.306499"
"449.9999","1992.0155","1938.0918","-43.11233","-9.149406","-2.6612585","-1.3427156","-0.28495413","-0.08288369","0","0","0","0.5926977","0","0","0","0","0","0","-1.3427156","-0.28495413","-0.08288369","4.4056935"
"474.99988","1959.9907","1876.2769","-49.791534","-10.0107355","-2.9117906","-1.5134693","-0.30428705","-0.088507","0","0","0","0.6306541","3.8146973E-06","7.6695505E-07","2.2308176E-07","0","0","0","-1.5134693","-0.30428705","-0.088507","4.508438"
"499.99982","1928.1829","1815.8726","-57.03595","-10.8938875","-3.1686702","-1.6966932","-0.32406852","-0.09426077","0","0","0","0.6692343","0","0","0","0","0","0","-1.6966932","-0.32406852","-0.09426077","4.5939364"
"524.9999","1896.5924","1756.8591","-64.863976","-11.799091","-3.4319637","-1.8927517","-0.3443006","-0.10014561","0","0","0","0.70845467","0","0","0","0","0","0","-1.8927517","-0.3443006","-0.10014561","4.677534"
"549.9998","1865.2275","1699.2314","-73.294464","-12.726617","-3.7017503","-2.1019924","-0.36498243","-0.10616127","0","0","0","0.74833107","0","0","0","0","0","0","-2.1019924","-0.36498243","-0.10616127","4.764324"
"574.9998","1834.0962","1642.9834","-82.347946","-13.676961","-3.9781737","-2.3247998","-0.38611904","-0.1123092","0","0","0","0.78888094","0","0","0","0","0","0","-2.3247998","-0.38611904","-0.1123092","4.8544207"
"599.9998","1803.2058","1588.1061","-92.0455","-14.650625","-4.26138","-2.5615664","-0.40771607","-0.11859106","0","0","0","0.8301218","0","0","0","0","0","0","-2.5615664","-0.40771607","-0.11859106","4.947939"
"624.99976","1772.5653","1534.5936","-102.41173","-15.648571","-4.5516496","-2.812762","-0.4297902","-0.1250117","0","0","0","0.87207466","0","0","0","0","0","0","-2.812762","-0.4297902","-0.1250117","5.044993"
"649.99976","1742.18","1482.4327","-113.46597","-16.670841","-4.848994","-3.0787406","-0.45233816","-0.13157015","0","0","0","0.9147536","0","0","0","0","0","0","-3.0787406","-0.45233816","-0.13157015","5.145719"
"674.99976","1712.059","1431.6154","-125.236465","-17.718723","-5.153788","-3.3600464","-0.4753845","-0.13827357","0","0","0","0.9581827","0","0","0","0","0","0","-3.3600464","-0.4753845","-0.13827357","5.250238"
"699.99976","1682.2073","1382.1267","-137.74582","-18.792564","-5.4661326","-3.657104","-0.49893364","-0.14512323","0","0","0","1.0023785","0","0","0","0","0","0","-3.657104","-0.49893364","-0.14512323","5.35869"
"724.9997","1652.6268","1333.9469","-151.02118","-19.893253","-5.786287","-3.970425","-0.523001","-0.15212363","0","0","0","1.0473619","0","0","0","0","0","0","-3.970425","-0.523001","-0.15212363","5.4535985"
"749.9997","1623.3112","1287.0413","-165.09027","-21.021635","-6.1144953","-4.300472","-0.54759365","-0.1592768","0","0","0","1.0931543","1.5258789E-05","1.9429535E-06","5.651406E-07","0","0","0","-4.300472","-0.54759365","-0.1592768","5.546499"
"774.9997","1594.266","1241.3965","-179.98126","-22.1785","-6.450989","-4.647676","-0.5727139","-0.16658345","0","0","0","1.1397768","1.5258789E-05","1.8802774E-06","5.4691026E-07","0","0","0","-4.647676","-0.5727139","-0.16658345","5.643428"
"799.9997","1565.4988","1197.0006","-195.72708","-23.365108","-6.796134","-5.012566","-0.5983753","-0.1740475","0","0","0","1.1872545","0","0","0","0","0","0","-5.012566","-0.5983753","-0.1740475","5.7444987"
"824.99963","1537.0145","1153.838","-212.35587","-24.582022","-7.1500936","-5.395566","-0.62457794","-0.18166898","0","0","0","1.2356073","0","0","0","0","0","0","-5.395566","-0.62457794","-0.18166898","5.849849"
"849.99963","1508.82","1111.8949","-229.9026","-25.830488","-7.5132313","-5.797235","-0.6513367","-0.18945222","0","0","0","1.2848604","-1.5258789E-05","-1.7143705E-06","-4.9865343E-07","0","0","0","-5.797235","-0.6513367","-0.18945222","5.959611"
"874.99963","1480.8859","1071.1051","-248.40181","-27.111576","-7.885857","-6.2181363","-0.67866546","-0.19740124","0","0","0","1.3350387","-1.5258789E-05","-1.6653887E-06","-4.8440626E-07","0","0","0","-6.2181363","-0.67866546","-0.19740124","6.13005"
"899.9996","1453.1765","1031.3965","-267.89032","-28.426477","-8.268318","-6.6589484","-0.70658875","-0.2055232","0","0","0","1.3861699","0","0","0","0","0","0","-6.6589484","-0.70658875","-0.2055232","6.310757"
"924.9996","1425.7012","992.76373","-288.4048","-29.77623","-8.660916","-7.1203704","-0.7351304","-0.21382503","0","0","0","1.4382815","0","0","0","0","0","0","-7.1203704","-0.7351304","-0.21382503","6.4988513"
