	Name:	22 CCI Stinger		Altitude:	0	feet
	G1 BC:	0.365		Temperature:	59	øF
	Muzzle Vel:	2600	f/s	Pressure:	29.53	in Hg
	Sight Adj:	5.673	MOA	Humidity:	0	%
	Zeroed Rng:	100	yards	Wind Speed:	0	mph
	Bullet Wgt:	69.0	grains	Wind Dir:	12:00	O'clk
	Sight Height:	3.20	in	Range Slope:	0	deg
	Spin Drift:	Off
	Coriolis:	On
	Shooting Dir:	0.0	deg	Latitude:	45.0	deg
	Close Zeroed Rng:	100.0	yards

				Report Trace

	Range	Velocity	Energy	Path	Drop	Drift	TOF	CDFC	Mntum	Zero Adj
	Yards	f/s	ft-lb	inches	inches	inches	sec	inches	lb-f/s	MOA
	0	2600	1036	-3.20	0.00	0.00	0.00000	3.20	25.6	----
	50	2480	942	-0.89	-0.66	0.01	0.05908	0.89	24.4	1.71
	100	2362	855	0.00	-2.74	0.02	0.12106	0.00	23.3	0.00
	150	2248	775	-0.67	-6.38	0.05	0.18615	0.67	22.2	0.42
	200	2137	700	-3.05	-11.73	0.09	0.25458	3.05	21.1	1.46
	250	2029	631	-7.34	-18.99	0.15	0.32661	7.34	20.0	2.80
	300	1925	568	-13.74	-28.37	0.22	0.40251	13.74	19.0	4.37
	350	1824	510	-22.49	-40.09	0.31	0.48258	22.49	18.0	6.14
	400	1726	457	-33.86	-54.42	0.42	0.56714	33.86	17.0	8.08
	450	1633	409	-48.14	-71.67	0.55	0.65649	48.14	16.1	10.22
	500	1544	365	-65.69	-92.19	0.70	0.75098	65.69	15.2	12.55
	550	1460	327	-86.88	-116.36	0.87	0.85090	86.88	14.4	15.08
	600	1381	292	-112.15	-144.60	1.07	0.95656	112.15	13.6	17.85
	650	1309	262	-141.99	-177.40	1.29	1.06817	141.99	12.9	20.86
	700	1243	237	-176.89	-215.28	1.54	1.18587	176.89	12.2	24.13
	750	1184	215	-217.43	-258.79	1.82	1.30964	217.43	11.7	27.68
	800	1132	196	-264.18	-308.50	2.14	1.43932	264.18	11.2	31.53
	850	1088	181	-317.70	-365.00	2.48	1.57458	317.70	10.7	35.69
	900	1050	169	-378.57	-428.83	2.87	1.71502	378.57	10.4	40.17
	950	1018	159	-447.32	-500.55	3.28	1.86024	447.32	10.0	44.96
	1000	989	150	-524.46	-580.67	3.73	2.00992	524.46	9.7	50.08
	1050	963	142	-610.50	-669.68	4.22	2.16380	610.50	9.5	55.52
	1100	940	135	-705.93	-768.08	4.74	2.32167	705.93	9.3	61.28
	1150	919	129	-811.22	-876.34	5.30	2.48340	811.22	9.1	67.36
	1200	899	124	-926.85	-994.94	5.90	2.64887	926.85	8.9	73.76
	1250	880	119	-1053.3	-1124.3	6.54	2.81801	1053.28	8.7	80.46
	1300	862	114	-1191.0	-1265.0	7.22	2.99075	1190.99	8.5	87.49
	1350	845	110	-1340.5	-1417.5	7.94	3.16707	1340.47	8.3	94.82
	1400	829	105	-1502.2	-1582.2	8.70	3.34694	1502.20	8.2	102.46
	1450	814	102	-1676.7	-1759.6	9.50	3.53035	1676.66	8.0	110.42
	1500	799	97.9	-1864.4	-1950.3	10.35	3.71730	1864.36	7.9	118.69
	1550	785	94.5	-2065.8	-2154.7	11.24	3.90779	2065.82	7.7	127.27
	1600	772	91.3	-2281.6	-2373.4	12.18	4.10186	2281.55	7.6	136.17
	1650	759	88.2	-2512.1	-2606.9	13.17	4.29951	2512.09	7.5	145.39
	1700	746	85.3	-2758.0	-2855.8	14.20	4.50078	2757.99	7.4	154.92
	1750	734	82.5	-3019.8	-3120.6	15.29	4.70571	3019.82	7.2	164.78
	1800	722	79.8	-3298.2	-3401.9	16.42	4.91434	3298.16	7.1	174.97
	1850	710	77.3	-3593.6	-3700.3	17.61	5.12672	3593.61	7.0	185.49
	1900	699	74.8	-3906.8	-4016.5	18.84	5.34289	3906.78	6.9	196.35
	1950	688	72.5	-4238.3	-4351.0	20.14	5.56291	4238.32	6.8	207.55
	2000	677	70.3	-4588.9	-4704.5	21.48	5.78685	4588.88	6.7	219.10

