Range,Velocity,Energy,ComeUp,ComeUpMOA,ComeUpMrads,SpinDrift,SpinDriftMOA,SpinDriftMrads,WindDrift,WindDriftMOA,WindDriftMrads,TimeOfFlight,VerticalWindJump,VerticalWindJumpMOA,VerticalWindJumpMrads,TotalComeUp,TotalComeUpMOA,TotalComeUpMrads,TotalWindDrift,TotalWindDriftMOA,TotalWindDriftMrads,Gyro
"0","2700.0002","3560.5454","-1.5009948","0","0","0","0","0","0","0","0","0","-0.0009948015","0","0","0","0","0","0","0","0","2.5630481"
"25","2665.0808","3469.0432","-1.2355812","-4.7197266","-1.3728027","-0.0023307353","-0.008903408","-0.0025897059","0","0","0","0.027960533","0","0","0","0","0","0","-0.0023307353","-0.008903408","-0.0025897059","2.6058507"
"50","2630.3494","3379.2146","-0.5652378","-1.0793347","-0.3139106","-0.009362116","-0.017881643","-0.005201176","0","0","0","0.056287125","-0.00012207031","-0.00023315431","-6.781684E-05","0","0","0","-0.009362116","-0.017881643","-0.005201176","2.6498225"
"75","2595.812","3291.057","-0.11670025","-0.1484375","-0.043151855","-0.021255178","-0.027064929","-0.007872289","0","0","0","0.08498839","0","0","0","0","0","0","-0.021255178","-0.027064929","-0.007872289","2.6949959"
"100.00001","2561.4758","3204.5674","0.10230016","0.09766724","0.0284356","-0.038201775","-0.036482695","-0.010611604","0","0","0","0.11407493","-0.00024414062","-0.00023315428","-6.7816836E-05","0","0","0","-0.038201775","-0.036482695","-0.010611604","2.7414014"
"125","2527.344","3119.7344","0.087626316","0.06695215","0.019476997","-0.060332064","-0.046093695","-0.013407125","0","0","0","0.14355227","-0.00024414062","-0.00018652344","-5.4253473E-05","0","0","0","-0.060332064","-0.046093695","-0.013407125","2.7890792"
"150","2493.4119","3036.5256","-0.16676396","-0.10620117","-0.030883789","-0.08781784","-0.05591069","-0.016262563","0","0","0","0.17342894","0","0","0","0","0","0","-0.08781784","-0.05591069","-0.016262563","2.8346965"
"174.99998","2459.6445","2954.8374","-0.66774637","-0.3642578","-0.10595703","-0.120820545","-0.0659335","-0.019177865","0","0","0","0.20371376","0","0","0","0","0","0","-0.120820545","-0.0659335","-0.019177865","2.8795984"
"199.99998","2426.0442","2874.6587","-1.4221548","-0.6789551","-0.19750977","-0.15949446","-0.07615861","-0.02215201","0","0","0","0.23441587","0","0","0","0","0","0","-0.15949446","-0.07615861","-0.02215201","2.925889"
"225.00002","2392.6191","2795.993","-2.43724","-1.0344238","-0.30090332","-0.20401339","-0.08659235","-0.025186837","0","0","0","0.26554555","0","0","0","0","0","0","-0.20401339","-0.08659235","-0.025186837","2.9736087"
"250","2359.3755","2718.8362","-3.7214308","-1.4213291","-0.41344535","-0.2545524","-0.09723902","-0.0282836","0","0","0","0.2971128","-0.00048828125","-0.00018652344","-5.4253473E-05","0","0","0","-0.2545524","-0.09723902","-0.0282836","3.0228007"
"274.99997","2326.3198","2643.1858","-5.277061","-1.8325195","-0.53302","-0.31125766","-0.1080913","-0.03144017","0","0","0","0.32912531","0","0","0","0","0","0","-0.31125766","-0.1080913","-0.03144017","3.0735123"
"300","2293.4592","2569.0408","-7.117334","-2.2658691","-0.6590576","-0.3743456","-0.11916668","-0.03466163","0","0","0","0.36159563","0","0","0","0","0","0","-0.3743456","-0.11916668","-0.03466163","3.125788"
"324.99997","2260.7427","2496.2676","-9.2483225","-2.7175293","-0.7904663","-0.44397917","-0.13046159","-0.037946943","0","0","0","0.39453217","0","0","0","0","0","0","-0.44397917","-0.13046159","-0.037946943","3.171526"
"349.99997","2228.23","2424.9844","-11.681764","-3.1872559","-0.927063","-0.52039766","-0.14199424","-0.041301407","0","0","0","0.4279492","0","0","0","0","0","0","-0.52039766","-0.14199424","-0.041301407","3.2323782"
"374.99994","2195.9514","2355.2358","-14.421112","-3.6726074","-1.0682373","-0.6037727","-0.1537608","-0.04472391","0","0","0","0.4618547","0","0","0","0","0","0","-0.6037727","-0.1537608","-0.04472391","3.2959917"
"399.9999","2163.903","2286.991","-17.478106","-4.1728516","-1.2137451","-0.69432336","-0.16576973","-0.04821691","0","0","0","0.4962603","0","0","0","0","0","0","-0.69432336","-0.16576973","-0.04821691","3.3616147"
"424.99994","2132.0906","2220.2417","-20.858675","-4.6872807","-1.3633395","-0.79227287","-0.17802839","-0.051782545","0","0","0","0.5311776","0.0009765625","0.00021943935","6.382762E-05","0","0","0","-0.79227287","-0.17802839","-0.051782545","3.4293132"
"449.99988","2100.5212","2154.9792","-24.579271","-5.216101","-1.5172126","-0.8978482","-0.19054338","-0.055422742","0","0","0","0.56661797","0.0009765625","0.00020724832","6.028165E-05","0","0","0","-0.8978482","-0.19054338","-0.055422742","3.499149"
"474.99988","2069.2002","2091.192","-28.645826","-5.759325","-1.6751748","-1.0112818","-0.20332092","-0.059139304","0","0","0","0.602593","0.0009765625","0.0001963405","5.710893E-05","0","0","0","-1.0112818","-0.20332092","-0.059139304","3.5711913"
"499.99982","2038.1327","2028.868","-33.068295","-6.315918","-1.8370972","-1.1328096","-0.21636672","-0.06293389","0","0","0","0.63911384","0","0","0","0","0","0","-1.1328096","-0.21636672","-0.06293389","3.6455116"
"524.9999","2007.3258","1967.9979","-37.851337","-6.885076","-2.0026338","-1.2627097","-0.22969297","-0.06681006","0","0","0","0.67619395","0.0009765625","0.00017764141","5.1669987E-05","0","0","0","-1.2627097","-0.22969297","-0.06681006","3.722175"
"549.9998","1976.7833","1908.5656","-43.02067","-7.470045","-2.1728022","-1.4012346","-0.24330537","-0.07076945","0","0","0","0.7138449","0.0009765625","0.00016956682","4.9321356E-05","0","0","0","-1.4012346","-0.24330537","-0.07076945","3.8012595"
"574.9998","1946.51","1850.5559","-48.58045","-8.0686035","-2.3468628","-1.5486724","-0.25721437","-0.07481512","0","0","0","0.75207996","0","0","0","0","0","0","-1.5486724","-0.25721437","-0.07481512","3.874895"
"599.9998","1916.4987","1793.9319","-54.541138","-8.681152","-2.5250244","-1.705268","-0.2714219","-0.07894762","0","0","0","0.7909109","0","0","0","0","0","0","-1.705268","-0.2714219","-0.07894762","3.9382224"
"624.99976","1886.7529","1738.677","-60.915863","-9.307957","-2.707354","-1.8712735","-0.2859307","-0.08316774","0","0","0","0.8303521","0.0009765625","0.0001492188","4.3402793E-05","0","0","0","-1.8712735","-0.2859307","-0.08316774","4.0037613"
"649.9997","1857.2773","1684.777","-67.71872","-9.949176","-2.8938985","-2.0469408","-0.30074298","-0.08747615","0","0","0","0.8704176","0.001953125","0.00028695926","8.346692E-05","0","0","0","-2.0469408","-0.30074298","-0.08747615","4.07157"
"674.99976","1828.0767","1632.2162","-74.958275","-10.605192","-3.0846975","-2.2325275","-0.31586137","-0.091873586","0","0","0","0.9111216","0.001953125","0.0002763311","8.037554E-05","0","0","0","-2.2325275","-0.31586137","-0.091873586","4.1417074"
"699.99976","1799.156","1580.9808","-82.65773","-11.276589","-3.2800128","-2.4282918","-0.3312885","-0.09636082","0","0","0","0.9524779","0.001953125","0.00026646213","7.7504985E-05","0","0","0","-2.4282918","-0.3312885","-0.09636082","4.2142353"
