Range,Velocity,Energy,ComeUp,ComeUpMOA,ComeUpMrads,SpinDrift,SpinDriftMOA,SpinDriftMrads,WindDrift,WindDriftMOA,WindDriftMrads,TimeOfFlight,VerticalWindJump,VerticalWindJumpMOA,VerticalWindJumpMrads,TotalComeUp,TotalComeUpMOA,TotalComeUpMrads,TotalWindDrift,TotalWindDriftMOA,TotalWindDriftMrads,Gyro
"0","2790","3801.8708","-1.500732","0","0","0","0","0","0","0","0","0","-0.00073194504","0","0","0","0","0","0","0","0","2.5831783"
"25","2753.8206","3703.908","-0.48044366","-1.8352948","-0.53382635","-0.0031268864","-0.011944706","-0.0034743182","0.062480465","0.23867539","0.069422744","0.027059222","0.20820457","0.7953414","0.2313384","0","0","0","0.05935358","0.22673067","0.06594843","2.6306124"
"50","2717.9062","3607.9277","0.25409633","0.485324","0.14116463","-0.01254607","-0.023962995","-0.006970039","0.24961987","0.47677392","0.1386777","0.054472603","0.4163888","0.7953026","0.23132712","0","0","0","0.23707381","0.4528109","0.13170767","2.679268"
"75.00001","2682.2466","3513.8752","0.6934177","0.8829518","0.25682136","-0.028535098","-0.036334686","-0.010568554","0.56528866","0.7198008","0.20936614","0.08225113","0.624551","0.7952615","0.23131517","0","0","0","0.53675354","0.6834661","0.19879758","2.729198"
"100","2646.8335","3421.7017","0.8326863","0.79521537","0.23130174","-0.051238477","-0.048932746","-0.01423291","1.0106804","0.9651999","0.28074458","0.110398196","0.8326863","0.79521537","0.23130174","0","0","0","0.95944196","0.91626716","0.26651168","2.7804656"
"125","2611.6694","3331.3892","0.6609093","0.5049348","0.14686874","-0.08094197","-0.061839662","-0.017987104","1.5896171","1.2144674","0.35324824","0.13892463","1.0408036","0.79517394","0.23128968","0","0","0","1.5086752","1.1526277","0.33526114","2.8331075"
"150","2576.7546","3242.9116","0.1710658","0.10891187","0.03167884","-0.1178441","-0.075027406","-0.021822982","2.3041418","1.4669702","0.4266929","0.16783628","1.2488818","0.7951214","0.2312744","0","0","0","2.1862977","1.3919427","0.4048699","2.8871741"
"175","2542.0916","3156.249","-0.64522505","-0.35210848","-0.10241668","-0.1621783","-0.088503","-0.025742585","3.156842","1.7227336","0.501086","0.19714047","1.4569287","0.79506683","0.23125853","0","0","0","2.9946637","1.6342306","0.4753434","2.9427085"
"200.00002","2507.6836","3071.3857","-1.7972727","-0.8581978","-0.24962123","-0.21420155","-0.10228123","-0.029750213","4.150618","1.9819199","0.57647467","0.22684543","1.6649313","0.7950046","0.23124044","0","0","0","3.9364166","1.8796387","0.54672444","2.9990551"
"225","2473.5015","2988.2244","-3.294446","-1.3983095","-0.40672177","-0.274168","-0.1163691","-0.033847906","5.2884016","2.2446325","0.652889","0.2569595","1.8729124","0.7949472","0.23122375","0","0","0","5.0142336","2.1282635","0.6190411","3.051867"
"250","2439.529","2906.7043","-5.146331","-1.9658985","-0.57181454","-0.34231296","-0.13076355","-0.038034774","6.5732594","2.5109844","0.730362","0.2874914","2.0808496","0.7948845","0.23120551","0","0","0","6.2309465","2.380221","0.6923272","3.1062653"
"275","2405.772","2826.8179","-7.3625784","-2.5568233","-0.74369496","-0.41887185","-0.14546277","-0.042310286","8.008266","2.781052","0.8089157","0.31844985","2.2887545","0.79482204","0.23118733","0","0","0","7.5893946","2.6355894","0.7666054","3.1622996"
"300","2372.2366","2748.558","-9.953022","-3.1683795","-0.9215764","-0.5040851","-0.1604671","-0.04667455","9.596478","3.054878","0.88856256","0.3498435","2.4966164","0.7947562","0.23116818","0","0","0","9.092393","2.8944108","0.841888","3.2200205"
"325.00003","2338.9282","2671.9155","-12.930887","-3.7996924","-1.1052042","-0.59827304","-0.17580022","-0.051134445","11.342243","3.332873","0.9694221","0.3816847","2.7044048","0.79467887","0.2311457","0","0","0","10.74397","3.1570728","0.91828763","3.2794757"
"350","2305.8508","2596.877","-16.304155","-4.4487076","-1.2939812","-0.7016397","-0.1914474","-0.05568569","13.247728","3.6147358","1.0514066","0.41397968","2.9121647","0.7946049","0.23112418","0","0","0","12.546088","3.4232883","0.9957209","3.3407269"
