	Name:	22 CCI Stinger		Altitude:	0	feet
	G1 BC:	0.365		Temperature:	59	øF
	Muzzle Vel:	2600	f/s	Pressure:	29.53	in Hg
	Sight Adj:	4.977	MOA	Humidity:	78	%
	Zeroed Rng:	100	yards	Wind Speed:	0	mph
	Bullet Wgt:	65.0	grains	Wind Dir:	12:00	O'clk
	Sight Height:	2.50	in	Range Slope:	0	deg
	Spin Drift:	Off
	Coriolis:	On
	Shooting Dir:	90.0	deg	Latitude:	30.0	deg
	Close Zeroed Rng:	87.3	yards

				Report Trace

	Range	Velocity	Energy	Path	Drop	Drift	TOF	CDFC	Mntum	Zero Adj
	Yards	f/s	ft-lb	inches	inches	inches	sec	inches	lb-f/s	MOA
	0	2600	976	-2.50	0.00	0.00	0.00000	2.50	24.1	----
	50	2480	888	-0.55	-0.66	0.00	0.05907	0.55	23.0	1.05
	100	2363	806	0.00	-2.71	0.02	0.12103	0.00	21.9	0.00
	150	2249	731	-0.99	-6.31	0.04	0.18609	0.99	20.9	0.63
	200	2139	660	-3.68	-11.61	0.07	0.25448	3.68	19.9	1.76
	250	2031	596	-8.26	-18.79	0.11	0.32644	8.26	18.9	3.15
	300	1927	536	-14.92	-28.05	0.16	0.40226	14.92	17.9	4.75
	350	1826	482	-23.89	-39.63	0.22	0.48222	23.89	17.0	6.52
	400	1729	432	-35.45	-53.80	0.30	0.56663	35.45	16.1	8.46
	450	1636	387	-49.89	-70.84	0.39	0.65581	49.89	15.2	10.59
	500	1548	346	-67.54	-91.10	0.49	0.75009	67.54	14.4	12.90
	550	1464	309	-88.78	-114.95	0.61	0.84977	88.78	13.6	15.42
	600	1385	277	-114.05	-142.82	0.75	0.95513	114.05	12.9	18.15
	650	1313	249	-143.80	-175.17	0.91	1.06641	143.80	12.2	21.13
	700	1247	224	-178.54	-212.52	1.09	1.18372	178.54	11.6	24.36
	750	1188	204	-218.81	-255.41	1.29	1.30706	218.81	11.0	27.86
	800	1136	186	-265.19	-304.39	1.51	1.43627	265.19	10.6	31.65
	850	1092	172	-318.23	-360.03	1.75	1.57103	318.23	10.1	35.75
	900	1054	160	-378.48	-422.89	2.02	1.71095	378.48	9.8	40.16
	950	1022	151	-446.47	-493.49	2.31	1.85562	446.47	9.5	44.88
	1000	993	142	-522.71	-572.34	2.63	2.00473	522.71	9.2	49.92
	1050	967	135	-607.70	-659.92	2.97	2.15802	607.70	9.0	55.27
	1100	944	129	-701.90	-756.73	3.34	2.31528	701.90	8.8	60.93
	1150	922	123	-805.78	-863.22	3.74	2.47638	805.78	8.6	66.91
	1200	902	117	-919.81	-979.86	4.16	2.64119	919.81	8.4	73.20
	1250	883	113	-1044.5	-1107.1	4.61	2.80965	1044.46	8.2	79.79
	1300	866	108	-1180.2	-1245.4	5.09	2.98169	1180.18	8.0	86.69
	1350	849	104	-1327.5	-1395.3	5.59	3.15728	1327.46	7.9	93.90
	1400	833	100	-1486.7	-1557.2	6.13	3.33640	1486.75	7.7	101.41
	1450	818	96.5	-1658.5	-1731.6	6.70	3.51903	1658.54	7.6	109.23
	1500	803	93.1	-1843.3	-1919.0	7.29	3.70517	1843.33	7.5	117.35
	1550	789	89.8	-2041.6	-2119.9	7.92	3.89483	2041.61	7.3	125.78
	1600	775	86.7	-2253.9	-2334.8	8.59	4.08803	2253.90	7.2	134.52
	1650	762	83.8	-2480.7	-2564.2	9.28	4.28479	2480.71	7.1	143.57
	1700	749	81.0	-2722.6	-2808.7	10.01	4.48514	2722.59	7.0	152.93
	1750	737	78.4	-2980.1	-3068.8	10.77	4.68911	2980.09	6.8	162.62
	1800	725	75.9	-3253.8	-3345.1	11.57	4.89675	3253.78	6.7	172.62
	1850	713	73.5	-3544.2	-3638.2	12.40	5.10810	3544.23	6.6	182.95
	1900	702	71.2	-3852.1	-3948.6	13.28	5.32322	3852.07	6.5	193.60
	1950	691	69.0	-4177.9	-4277.0	14.19	5.54214	4177.90	6.4	204.59
	2000	680	66.8	-4522.4	-4624.1	15.13	5.76494	4522.37	6.3	215.93

